step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda,samples_ms,cublas_samples_ms,git_revision,git_dirty,gemm_kernels_sha256,utils_sha256,benchmark_sha256,benchmark_diagnostics_sha256,compiler,ptxas_reg_level,TVM_CUDA_PTXAS_EXTRA_OPTS,TVM_CUDA_NVRTC_EXTRA_OPTS,TVM_CUDA_NVCC_NO_FAST_MATH,TVM_KERNEL_DEBUG,TVM_KERNEL_DUMP,CUDA_LAUNCH_BLOCKING,CUDA_VISIBLE_DEVICES,target
10,1024,1024,1024,0.018547199169794717,0.018518400192260743,0.0187285323937734,115.78479469273789,0.0069130669037501015,0.3727283478471761,0.025,0.0325,PASS,0,10,30,7,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.0187285323937734, 0.018602667252222697, 0.018518400192260743, 0.018547199169794717, 0.018529067436854046, 0.018567466735839845, 0.018525866667429607]","[0.0070709332823753355, 0.00683840016523997, 0.006949333349863688, 0.006855466465155283, 0.0069130669037501015, 0.006712533533573151, 0.006996266543865204]",d2835492913d94532bcd160ea79891a8f0e9d836,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
10,2048,2048,2048,0.027124265829722088,0.026860799392064413,0.02737279931704203,633.3763756722489,0.021270400285720824,0.7841834473695968,0.035,0.045500000000000006,PASS,0,10,30,7,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.02737279931704203, 0.027308799823125205, 0.026860799392064413, 0.02712000012397766, 0.027124265829722088, 0.027358933289845785, 0.02704106569290161]","[0.021230934063593547, 0.02129813234011332, 0.02131519913673401, 0.021232000986735024, 0.021297067403793335, 0.021270400285720824, 0.02123946746190389]",d2835492913d94532bcd160ea79891a8f0e9d836,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
10,4096,4096,4096,0.13760959307352702,0.1355786641438802,0.1382805347442627,998.7599730678962,0.12750720183054606,0.9265865771612078,0.107,0.1391,PASS,0,10,30,7,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.1382805347442627, 0.13757120768229167, 0.13767360051472982, 0.13760959307352702, 0.13780585924784342, 0.13570133845011392, 0.1355786641438802]","[0.12674453258514404, 0.12691306273142497, 0.1278719981511434, 0.12731733322143554, 0.12769920031229656, 0.12750720183054606, 0.12776426474253336]",d2835492913d94532bcd160ea79891a8f0e9d836,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
10,8192,8192,8192,0.8689077377319336,0.8652202606201171,0.8702965418497721,1265.3951392422862,0.8514485041300456,0.9799066887728943,0.728,0.9464,PASS,0,10,30,7,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.8693546930948893, 0.8689077377319336, 0.8702965418497721, 0.8699498494466146, 0.8688650767008463, 0.8684064229329427, 0.8652202606201171]","[0.8512362798055013, 0.851910400390625, 0.8512309392293295, 0.8514485041300456, 0.8525109608968099, 0.8530101140340169, 0.8507328033447266]",d2835492913d94532bcd160ea79891a8f0e9d836,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
