metric,value,unit
device__attribute_multicast_supported,1,
device__attribute_multiprocessor_count,148,
device__attribute_num_l2s_per_fbp,12,
device__attribute_num_schedulers_per_multiprocessor,4,
device__attribute_num_tex_per_multiprocessor,1,
device__attribute_numa_config,0,
device__attribute_pageable_memory_access,1,
device__attribute_pageable_memory_access_uses_host_page_tables,0,
device__attribute_pci_bus_id,6,
device__attribute_pci_device_id,0,
device__attribute_pci_domain_id,0,
device__attribute_ram_location,1,
device__attribute_ram_type,0,
device__attribute_reserved_shared_memory_per_block,1024,
device__attribute_sass_level,10,
device__attribute_single_to_double_precision_perf_ratio,64,
device__attribute_sparse_cuda_array_supported,1,
device__attribute_stream_priorities_supported,1,
device__attribute_surface_alignment,512,
device__attribute_tcc_driver,0,
device__attribute_tensor_map_access_supported,1,
device__attribute_texture_alignment,512,
device__attribute_texture_pitch_alignment,32,
device__attribute_total_constant_memory,65536,
device__attribute_total_memory,287428640768,
device__attribute_unified_addressing,1,
device__attribute_unified_function_pointers,1,
device__attribute_virtual_address_management_supported,1,
device__attribute_warp_size,32,
dram__bytes.avg.per_second,11.804099,Gbyte/s
dram__bytes.max.per_second,13.044244,Gbyte/s
dram__bytes.min.per_second,4.675194,Gbyte/s
dram__bytes.sum.per_second,755.462361,Gbyte/s
dram__cycles_active.avg.pct_of_peak_sustained_elapsed,9.850046,%
dram__cycles_active.max.pct_of_peak_sustained_elapsed,10.204590,%
dram__cycles_active.min.pct_of_peak_sustained_elapsed,7.314865,%
dram__cycles_active.sum.pct_of_peak_sustained_elapsed,9.850046,%
dram__cycles_elapsed.avg.per_second,3.994601,Ghz
dram__cycles_elapsed.max.per_second,3.995806,Ghz
dram__cycles_elapsed.min.per_second,3.994129,Ghz
dram__cycles_elapsed.sum.per_second,255.654435,Ghz
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,8.663655,%
fbpa__dram_sectors.max.pct_of_peak_sustained_elapsed,8.926441,%
fbpa__dram_sectors.min.pct_of_peak_sustained_elapsed,7.985145,%
fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed,8.663655,%
gpc__cycles_elapsed.avg,153437.000000,cycle
gpc__cycles_elapsed.avg.per_second,1.005432,Ghz
gpc__cycles_elapsed.max,160822.000000,cycle
gpc__cycles_elapsed.max.per_second,1.053824,Ghz
gpc__cycles_elapsed.min,146578.000000,cycle
gpc__cycles_elapsed.min.per_second,960.486999,Mhz
gpc__cycles_elapsed.sum,1227496.000000,cycle
gpc__cycles_elapsed.sum.per_second,8.043458,Ghz
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed,28.500383,%
gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed,32.953578,%
gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed,12.676764,%
gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed,28.500383,%
gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,22.452658,%
gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,23.962793,%
gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,10.272736,%
gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,22.452658,%
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed,52.181624,%
gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed,61.807127,%
gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed,17.875894,%
gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed,52.181624,%
gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,0.077880,%
