step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms,paired_cache_speedup,comparison_control,paired_control_speedup
9,1024,baseline,0.01862186590830485,0.018613332509994508,0.019126399358113607,1.0,115.32054084023237,0.0195,PASS,"[0.01874986688296, 0.019126399358113607, 0.018613332509994508, 0.018847999970118205, 0.018614399433135986, 0.018615466356277467, 0.01862186590830485]",,baseline,1.0
9,1024,cluster_cache_tmem_base,0.01861013372739156,0.01858453353246053,0.018633600076039633,1.0020087873488517,115.3932410941894,0.0195,PASS,"[0.018633600076039633, 0.018593066930770875, 0.018588799238204955, 0.018620800971984864, 0.01861013372739156, 0.018618667125701906, 0.01858453353246053]",,baseline,1.0020087873488517
