step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms,paired_cache_speedup,comparison_control,paired_control_speedup
10,4096,baseline,0.1384618600209554,0.1380799929300944,0.139355738957723,1.0,992.6123587477406,0.1391,PASS,"[0.13913920720418294, 0.139355738957723, 0.1384618600209554, 0.13810240427652995, 0.1380799929300944]",,baseline,1.0
10,4096,epilogue_depth3,0.13822399775187175,0.1364789326985677,0.13867093722025553,1.0006937210604938,994.320492153027,0.1391,PASS,"[0.13816000620524088, 0.1364789326985677, 0.1383658727010091, 0.13867093722025553, 0.13822399775187175]",,baseline,1.0006937210604938
10,4096,epilogue_double_buffer,0.139355738957723,0.13845973014831542,0.1402560075124105,0.9920374155229769,986.245378194977,0.1391,SLOW,"[0.1402560075124105, 0.13877545992533366, 0.13845973014831542, 0.13975787162780762, 0.139355738957723]",,epilogue_depth3,0.9918787614036148
