timestamp, uuid, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%]
2026/09/14 06:26:34.935, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 186.03, 1100.00, 33, 0
2026/09/14 06:26:35.142, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.96, 1100.00, 33, 0
2026/09/14 06:26:35.342, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.78, 1100.00, 33, 0
2026/09/14 06:26:35.543, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.59, 1100.00, 33, 0
2026/09/14 06:26:35.743, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.25, 1100.00, 33, 0
2026/09/14 06:26:35.978, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 120, 3996, 185.32, 1100.00, 33, 0
2026/09/14 06:26:36.200, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 885, 3996, 188.17, 1100.00, 33, 0
2026/09/14 06:26:36.400, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 885, 3996, 190.05, 1100.00, 33, 0
2026/09/14 06:26:36.600, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 885, 3996, 192.06, 1100.00, 33, 0
2026/09/14 06:26:36.801, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 200.79, 1100.00, 33, 0
2026/09/14 06:26:37.001, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 211.82, 1100.00, 34, 0
2026/09/14 06:26:37.201, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 222.20, 1100.00, 34, 0
2026/09/14 06:26:37.402, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 232.56, 1100.00, 34, 0
2026/09/14 06:26:37.602, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 243.73, 1100.00, 34, 0
2026/09/14 06:26:37.802, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.50, 1100.00, 34, 0
2026/09/14 06:26:38.003, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.50, 1100.00, 34, 0
2026/09/14 06:26:38.203, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.65, 1100.00, 34, 0
2026/09/14 06:26:38.403, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.65, 1100.00, 34, 0
2026/09/14 06:26:38.604, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.69, 1100.00, 34, 0
2026/09/14 06:26:38.804, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:26:39.004, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 0
2026/09/14 06:26:39.205, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.51, 1100.00, 34, 0
2026/09/14 06:26:39.405, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.50, 1100.00, 34, 0
2026/09/14 06:26:39.605, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.46, 1100.00, 34, 0
2026/09/14 06:26:39.806, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.48, 1100.00, 34, 0
2026/09/14 06:26:40.006, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:26:40.206, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.60, 1100.00, 34, 0
2026/09/14 06:26:40.407, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.60, 1100.00, 34, 0
2026/09/14 06:26:40.607, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.60, 1100.00, 34, 0
2026/09/14 06:26:40.807, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.60, 1100.00, 34, 0
2026/09/14 06:26:41.008, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 34, 2
2026/09/14 06:26:41.208, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 34, 0
2026/09/14 06:26:41.408, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.84, 1100.00, 34, 0
2026/09/14 06:26:41.609, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.75, 1100.00, 34, 0
2026/09/14 06:26:41.809, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:26:42.009, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.09, 1100.00, 34, 0
2026/09/14 06:26:42.210, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.20, 1100.00, 34, 0
2026/09/14 06:26:42.410, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.01, 1100.00, 34, 0
2026/09/14 06:26:42.610, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.97, 1100.00, 34, 0
2026/09/14 06:26:42.811, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.98, 1100.00, 34, 0
2026/09/14 06:26:43.011, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.98, 1100.00, 34, 0
2026/09/14 06:26:43.211, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.71, 1100.00, 34, 2
2026/09/14 06:26:43.412, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.98, 1100.00, 34, 0
2026/09/14 06:26:43.612, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.06, 1100.00, 34, 0
2026/09/14 06:26:43.812, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.24, 1100.00, 34, 0
2026/09/14 06:26:44.013, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.41, 1100.00, 34, 0
2026/09/14 06:26:44.213, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.78, 1100.00, 34, 2
2026/09/14 06:26:44.413, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.63, 1100.00, 34, 0
2026/09/14 06:26:44.614, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.66, 1100.00, 34, 0
2026/09/14 06:26:44.814, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.66, 1100.00, 34, 0
2026/09/14 06:26:45.014, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 0
2026/09/14 06:26:45.214, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:26:45.415, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:26:45.615, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:26:45.816, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:26:46.016, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:26:46.216, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.54, 1100.00, 34, 0
2026/09/14 06:26:46.417, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.53, 1100.00, 34, 0
2026/09/14 06:26:46.617, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.53, 1100.00, 34, 0
2026/09/14 06:26:46.817, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.54, 1100.00, 34, 0
2026/09/14 06:26:47.018, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.60, 1100.00, 34, 2
2026/09/14 06:26:47.218, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:26:47.418, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:26:47.619, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:26:47.819, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:26:48.019, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.62, 1100.00, 34, 2
2026/09/14 06:26:48.220, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.63, 1100.00, 34, 0
2026/09/14 06:26:48.420, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.63, 1100.00, 34, 0
2026/09/14 06:26:48.620, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.62, 1100.00, 34, 0
2026/09/14 06:26:48.821, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.57, 1100.00, 34, 0
2026/09/14 06:26:49.021, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.47, 1100.00, 35, 0
2026/09/14 06:26:49.221, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.41, 1100.00, 35, 0
2026/09/14 06:26:49.422, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.34, 1100.00, 35, 0
2026/09/14 06:26:49.622, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.28, 1100.00, 35, 0
2026/09/14 06:26:49.822, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.27, 1100.00, 35, 0
2026/09/14 06:26:50.023, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.27, 1100.00, 35, 2
2026/09/14 06:26:50.223, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.27, 1100.00, 35, 0
2026/09/14 06:26:50.423, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.28, 1100.00, 35, 0
2026/09/14 06:26:50.624, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.29, 1100.00, 35, 0
2026/09/14 06:26:50.824, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.30, 1100.00, 35, 0
2026/09/14 06:26:51.024, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.43, 1100.00, 35, 0
2026/09/14 06:26:51.225, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.44, 1100.00, 35, 0
2026/09/14 06:26:51.425, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.45, 1100.00, 35, 0
2026/09/14 06:26:51.625, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.46, 1100.00, 35, 0
2026/09/14 06:26:51.826, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.46, 1100.00, 35, 0
2026/09/14 06:26:52.026, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 35, 0
2026/09/14 06:26:52.226, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 35, 0
2026/09/14 06:26:52.427, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 35, 0
2026/09/14 06:26:52.627, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 35, 0
2026/09/14 06:26:52.827, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.40, 1100.00, 35, 2
2026/09/14 06:26:53.028, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.32, 1100.00, 35, 0
2026/09/14 06:26:53.228, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.32, 1100.00, 35, 0
2026/09/14 06:26:53.428, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.32, 1100.00, 35, 0
2026/09/14 06:26:53.629, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.30, 1100.00, 35, 0
2026/09/14 06:26:53.829, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.43, 1100.00, 35, 0
2026/09/14 06:26:54.029, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.38, 1100.00, 35, 0
2026/09/14 06:26:54.230, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.36, 1100.00, 35, 0
2026/09/14 06:26:54.430, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.35, 1100.00, 35, 0
2026/09/14 06:26:54.630, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.42, 1100.00, 35, 2
2026/09/14 06:26:54.831, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.31, 1100.00, 35, 0
2026/09/14 06:26:55.031, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.31, 1100.00, 35, 0
2026/09/14 06:26:55.231, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.32, 1100.00, 35, 0
2026/09/14 06:26:55.432, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.34, 1100.00, 35, 0
2026/09/14 06:26:55.632, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.40, 1100.00, 35, 2
2026/09/14 06:26:55.832, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.27, 1100.00, 35, 0
