step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.007362133264541626,0.007362133264541626,0.007362133264541626,0.28485656597667836,0.005932799975077311,0.8058533799777249,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007338666419188181,0.007338666419188181,0.007338666419188181,0.2857674514972696,0.006178133189678192,0.8418604739308522,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.016552533706029257,0.016552533706029257,0.016552533706029257,1.0135738913426229,0.005874133110046387,0.3548781844743645,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.024795732895533242,0.024795732895533242,0.024795732895533242,1.3532341286852856,0.005997866888840993,0.2418910912660082,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08216533660888672,0.08216533660888672,0.08216533660888672,1.6335079187819388,0.008435199658075968,0.1026612925378516,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.010640000303586325,0.010640000303586325,0.010640000303586325,3.1536119400945997,0.005774933099746704,0.5427568547907091,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.016587733229001363,0.016587733229001363,0.016587733229001363,16.182769055549894,0.006186666587988536,0.37296636632496616,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.02682773272196452,0.02682773272196452,0.02682773272196452,80.047153826078,0.0068351998925209045,0.25478112382284024,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.08829332987467448,0.08829332987467448,0.08829332987467448,194.57720315210094,0.021526400248209634,0.2438055091903849,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.010452266534169514,0.010452266534169514,0.010452266534169514,3.210254148256474,0.005713066458702088,0.5465863733981043,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,512,512,512,0.014589866995811463,0.014589866995811463,0.014589866995811463,18.39875963756653,0.005758933226267497,0.3947214342612446,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,1024,1024,1024,0.022781866788864135,0.022781866788864135,0.022781866788864135,94.26284807572038,0.006829866766929626,0.29979399099410464,0.017,0.0221,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,2048,2048,2048,0.07649706999460856,0.07649706999460856,0.07649706999460856,224.58205504094235,0.021385600169499714,0.27956103640318447,0.052,0.0676,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,512,512,512,0.010553600390752156,0.010553600390752156,0.010553600390752156,25.435438718640793,0.0057205334305763245,0.5420456733977798,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,1024,1024,1024,0.015715199708938598,0.015715199708938598,0.015715199708938598,136.65010230691115,0.0068575998147328695,0.4363673349204947,0.012,0.015600000000000001,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,2048,2048,2048,0.045254401365915936,0.045254401365915936,0.045254401365915936,379.6286916953737,0.021565866470336915,0.47654738145712355,0.033,0.0429,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
5,4096,4096,4096,0.36231358846028644,0.36231358846028644,0.36231358846028644,379.337010394974,0.12785279750823975,0.35287883640128453,0.272,0.3536,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,1024,1024,1024,0.016568533579508462,0.016568533579508462,0.016568533579508462,129.61217344279356,0.007009066641330719,0.4230348212589769,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,2048,2048,2048,0.04759360154469808,0.04759360154469808,0.04759360154469808,360.9701435993519,0.021590399742126464,0.45364080551562364,0.035,0.045500000000000006,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,4096,4096,4096,0.31957225799560546,0.31957225799560546,0.31957225799560546,430.07160363053157,0.12834773063659669,0.40162350587503637,0.239,0.3107,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
6,8192,8192,8192,2.803722635904948,2.803722635904948,2.803722635904948,392.1613406745259,0.8519968032836914,0.3038805595007423,2.143,2.7859,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,1024,1024,1024,0.016583466529846193,0.016583466529846193,0.016583466529846193,129.49546128579652,0.007197866837183635,0.43403873516006025,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,2048,2048,2048,0.045315198103586835,0.045315198103586835,0.045315198103586835,379.11936619427826,0.021335466702779134,0.47082364406767024,0.031,0.0403,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,4096,4096,4096,0.3148384094238281,0.3148384094238281,0.3148384094238281,436.5380759085937,0.12889813582102458,0.409410452990521,0.23,0.29900000000000004,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
7,8192,8192,8192,2.7814837137858075,2.7814837137858075,2.7814837137858075,395.2968059192704,0.8515584309895833,0.30615258567541587,2.075,2.6975000000000002,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,1024,1024,1024,0.012530133128166199,0.012530133128166199,0.012530133128166199,171.3855412415947,0.006814933319886526,0.5438835525671626,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,2048,2048,2048,0.030104533831278483,0.030104533831278483,0.030104533831278483,570.6738154553382,0.0208896001180013,0.6939021289974966,0.023,0.0299,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,4096,4096,4096,0.1690048058827718,0.1690048058827718,0.1690048058827718,813.225119570463,0.12826240062713623,0.7589275343809094,0.132,0.1716,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
8,8192,8192,8192,1.4305717468261718,1.4305717468261718,1.4305717468261718,768.5819534849245,0.8515594482421875,0.5952581197912196,1.109,1.4417,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,1024,1024,1024,0.01862506667772929,0.01862506667772929,0.01862506667772929,115.3007226850806,0.006818133095900218,0.3660729496368957,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,2048,2048,2048,0.028942932685216267,0.028942932685216267,0.028942932685216267,593.5773465269913,0.021242666244506835,0.7339500276472452,0.023,0.0299,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,4096,4096,4096,0.14352426528930665,0.14352426528930665,0.14352426528930665,957.6008154088768,0.1279807964960734,0.891701457158469,0.116,0.15080000000000002,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
9,8192,8192,8192,0.9029354731241862,0.9029354731241862,0.9029354731241862,1217.7078656259387,0.8524362564086914,0.9440721754559427,0.788,1.0244,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,1024,1024,1024,0.028910932938257854,0.028910932938257854,0.028910932938257854,74.27929263251943,0.006801066795984904,0.2352420383842075,0.025,0.0325,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,2048,2048,2048,0.04528319835662842,0.04528319835662842,0.04528319835662842,379.3872740326272,0.021312000354131062,0.4706381423478114,0.035,0.045500000000000006,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,4096,4096,4096,0.14172693888346355,0.14172693888346355,0.14172693888346355,969.7447398127367,0.12727146943410236,0.898004786082007,0.107,0.1391,SLOW,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
10,8192,8192,8192,0.8708821614583333,0.8708821614583333,0.8708821614583333,1262.5262939532665,0.8516000111897787,0.977859059328686,0.728,0.9464,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
