step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda,samples_ms,cublas_samples_ms,trial_orders,cublas_speedup_samples,paired_speedup_vs_cublas,git_revision,git_dirty,gemm_kernels_sha256,utils_sha256,benchmark_sha256,benchmark_diagnostics_sha256,compiler,ptxas_reg_level,TVM_CUDA_PTXAS_EXTRA_OPTS,TVM_CUDA_NVRTC_EXTRA_OPTS,TVM_CUDA_NVCC_NO_FAST_MATH,TVM_KERNEL_DEBUG,TVM_KERNEL_DUMP,CUDA_LAUNCH_BLOCKING,CUDA_VISIBLE_DEVICES,target,comparison_order
1,128,128,64,0.005386666456858317,0.005386666456858317,0.005386666456858317,0.3893227874411828,0.005666133264700572,1.0518812163479023,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.005386666456858317],[0.005666133264700572],"[['kernel', 'cublas']]",[1.0518812163479023],1.0518812163479023,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
2,128,128,64,0.0054506664474805195,0.0054506664474805195,0.0054506664474805195,0.38475148318227653,0.005782400071620941,1.0608611125514311,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.0054506664474805195],[0.005782400071620941],"[['kernel', 'cublas']]",[1.0608611125514311],1.0608611125514311,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
2,128,128,512,0.010439466436703999,0.010439466436703999,0.010439466436703999,1.6070951615892148,0.006175999840100606,0.5916011012197405,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.010439466436703999],[0.006175999840100606],"[['kernel', 'cublas']]",[0.5916011012197405],0.5916011012197405,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
2,128,128,1024,0.016607999801635742,0.016607999801635742,0.016607999801635742,2.0203776734568106,0.0056863998373349505,0.3423892043143504,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.016607999801635742],[0.0056863998373349505],"[['kernel', 'cublas']]",[0.3423892043143504],0.3423892043143504,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
2,128,128,4096,0.051413333415985106,0.051413333415985106,0.051413333415985106,2.6105626514049347,0.007709866762161255,0.14995850784038353,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.051413333415985106],[0.007709866762161255],"[['kernel', 'cublas']]",[0.14995850784038353],0.14995850784038353,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
3,256,256,256,0.00835093359152476,0.00835093359152476,0.00835093359152476,4.018045603195061,0.005638400216897329,0.6751820206808564,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.00835093359152476],[0.005638400216897329],"[['kernel', 'cublas']]",[0.6751820206808564],0.6751820206808564,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
3,512,512,512,0.010471466183662414,0.010471466183662414,0.010471466183662414,25.634944647848176,0.005719466507434845,0.5461953853566714,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.010471466183662414],[0.005719466507434845],"[['kernel', 'cublas']]",[0.5461953853566714],0.5461953853566714,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
3,1024,1024,1024,0.016557866334915163,0.016557866334915163,0.016557866334915163,129.69567482687393,0.00585813323656718,0.3537975919164343,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.016557866334915163],[0.00585813323656718],"[['kernel', 'cublas']]",[0.3537975919164343],0.3537975919164343,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
3,2048,2048,2048,0.05345066785812378,0.05345066785812378,0.05345066785812378,321.415426082256,0.012565333644549053,0.23508281838314377,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.05345066785812378],[0.012565333644549053],"[['kernel', 'cublas']]",[0.23508281838314377],0.23508281838314377,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
4,256,256,256,0.006359466910362243,0.006359466910362243,0.006359466910362243,5.276296342595279,0.005913599828879039,0.9298892363514464,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.006359466910362243],[0.005913599828879039],"[['kernel', 'cublas']]",[0.9298892363514464],0.9298892363514464,9e3b989cc50a8143718048351bcd79a1e1343d47,True,727a44403b6c1ea0a0499c8212e5796d0fa2b31944929e9ecd50d60be4b961f2,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,99750ba84c133138994941c182c10eaa495663bf69570ad04c3f6be90fa2d1ab,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}",paired_reverse_rotation_v1
