step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda
1,128,128,64,0.00740479975938797,0.00740479975938797,0.00740479975938797,0.2832152209573505,0.005913599828879039,0.7986171160647045,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,64,0.007361066838105519,0.007361066838105519,0.007361066838105519,0.28489783425736875,0.006134399771690368,0.8333574339978617,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,512,0.016522666811943053,0.016522666811943053,0.016522666811943053,1.0154060595032366,0.006009600063165029,0.36371852870755217,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,1024,0.02477546731630961,0.02477546731630961,0.02477546731630961,1.3543410330715024,0.005980800092220307,0.24140009210979305,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
2,128,128,4096,0.08220160007476807,0.08220160007476807,0.08220160007476807,1.6327872921928483,0.008759466807047527,0.10656078226068814,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,256,256,256,0.010696533322334289,0.010696533322334289,0.010696533322334289,3.1369445584709745,0.0058218667904535925,0.5442760392563425,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,512,512,512,0.01660586694876353,0.01660586694876353,0.01660586694876353,16.165097361567604,0.005985066791375478,0.36041880919810243,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,1024,1024,1024,0.026851199070612588,0.026851199070612588,0.026851199070612588,79.97719738148763,0.006854400038719177,0.25527351760692896,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
3,2048,2048,2048,0.0882975975672404,0.0882975975672404,0.0882975975672404,194.5677986416016,0.021546665827433267,0.24402323982852475,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
4,256,256,256,0.010446932911872864,0.010446932911872864,0.010446932911872864,3.2118931252890146,0.0063050667444864905,0.6035328069658442,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0
