timestamp, uuid, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%]
2026/09/14 06:24:08.299, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 2
2026/09/14 06:24:08.499, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 0
2026/09/14 06:24:08.700, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:24:08.900, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 0
2026/09/14 06:24:09.100, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 0
2026/09/14 06:24:09.300, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.66, 1100.00, 34, 0
2026/09/14 06:24:09.501, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 0
2026/09/14 06:24:09.702, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:24:09.902, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.45, 1100.00, 34, 0
2026/09/14 06:24:10.103, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.43, 1100.00, 34, 2
2026/09/14 06:24:10.303, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.41, 1100.00, 34, 0
2026/09/14 06:24:10.503, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.27, 1100.00, 34, 0
2026/09/14 06:24:10.704, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.18, 1100.00, 34, 0
2026/09/14 06:24:10.905, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.14, 1100.00, 34, 0
2026/09/14 06:24:11.105, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.20, 1100.00, 34, 0
2026/09/14 06:24:11.305, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.97, 1100.00, 34, 0
2026/09/14 06:24:11.506, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.87, 1100.00, 34, 0
2026/09/14 06:24:11.706, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.04, 1100.00, 34, 0
2026/09/14 06:24:11.906, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.22, 1100.00, 34, 0
2026/09/14 06:24:12.107, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.41, 1100.00, 34, 0
2026/09/14 06:24:12.307, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.46, 1100.00, 34, 0
2026/09/14 06:24:12.507, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.65, 1100.00, 34, 0
2026/09/14 06:24:12.708, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:12.908, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.74, 1100.00, 34, 2
2026/09/14 06:24:13.108, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:24:13.309, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:24:13.509, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:24:13.709, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.56, 1100.00, 34, 0
2026/09/14 06:24:13.910, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.63, 1100.00, 34, 0
2026/09/14 06:24:14.110, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.69, 1100.00, 34, 0
2026/09/14 06:24:14.310, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.64, 1100.00, 34, 0
2026/09/14 06:24:14.511, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.64, 1100.00, 34, 0
2026/09/14 06:24:14.711, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.65, 1100.00, 34, 0
2026/09/14 06:24:14.911, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.54, 1100.00, 34, 2
2026/09/14 06:24:15.112, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.48, 1100.00, 34, 0
2026/09/14 06:24:15.312, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.53, 1100.00, 34, 0
2026/09/14 06:24:15.512, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.52, 1100.00, 34, 0
2026/09/14 06:24:15.713, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.51, 1100.00, 34, 0
2026/09/14 06:24:15.913, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 2
2026/09/14 06:24:16.113, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:24:16.314, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:24:16.514, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.55, 1100.00, 34, 0
2026/09/14 06:24:16.714, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.47, 1100.00, 34, 0
2026/09/14 06:24:16.915, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.67, 1100.00, 34, 0
2026/09/14 06:24:17.115, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.76, 1100.00, 34, 0
2026/09/14 06:24:17.316, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.62, 1100.00, 34, 0
2026/09/14 06:24:17.516, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.44, 1100.00, 34, 0
2026/09/14 06:24:17.716, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.45, 1100.00, 34, 2
2026/09/14 06:24:17.917, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.10, 1100.00, 34, 0
2026/09/14 06:24:18.117, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.83, 1100.00, 34, 0
2026/09/14 06:24:18.317, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.79, 1100.00, 34, 0
2026/09/14 06:24:18.517, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 246.79, 1100.00, 34, 0
2026/09/14 06:24:18.718, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.02, 1100.00, 34, 0
2026/09/14 06:24:18.918, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.08, 1100.00, 34, 0
2026/09/14 06:24:19.119, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.27, 1100.00, 34, 0
2026/09/14 06:24:19.319, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.44, 1100.00, 34, 0
2026/09/14 06:24:19.519, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 2
2026/09/14 06:24:19.720, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:24:19.920, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:24:20.120, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.59, 1100.00, 34, 0
2026/09/14 06:24:20.321, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.58, 1100.00, 34, 0
2026/09/14 06:24:20.521, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.66, 1100.00, 34, 2
2026/09/14 06:24:20.721, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.62, 1100.00, 34, 0
2026/09/14 06:24:20.922, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.62, 1100.00, 34, 0
2026/09/14 06:24:21.122, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.63, 1100.00, 34, 0
2026/09/14 06:24:21.322, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:21.523, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:21.723, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:21.923, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:22.124, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.68, 1100.00, 34, 0
2026/09/14 06:24:22.324, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1545, 3996, 294.98, 1100.00, 45, 37
2026/09/14 06:24:22.524, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1410, 3996, 461.64, 1100.00, 48, 96
2026/09/14 06:24:22.725, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1357, 3996, 622.55, 1100.00, 50, 96
2026/09/14 06:24:22.925, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1387, 3996, 780.08, 1100.00, 51, 96
2026/09/14 06:24:23.126, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1410, 3996, 941.62, 1100.00, 52, 96
2026/09/14 06:24:23.326, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1395, 3996, 1053.83, 1100.00, 52, 96
2026/09/14 06:24:23.526, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1402, 3996, 1054.37, 1100.00, 53, 96
2026/09/14 06:24:23.727, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1387, 3996, 1054.54, 1100.00, 53, 96
2026/09/14 06:24:23.927, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1395, 3996, 1055.91, 1100.00, 53, 95
2026/09/14 06:24:24.128, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1387, 3996, 1055.18, 1100.00, 53, 95
2026/09/14 06:24:24.328, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1410, 3996, 1054.87, 1100.00, 54, 95
2026/09/14 06:24:24.528, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1395, 3996, 1054.08, 1100.00, 54, 95
2026/09/14 06:24:24.729, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1387, 3996, 1054.32, 1100.00, 54, 95
2026/09/14 06:24:24.929, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1402, 3996, 1054.53, 1100.00, 54, 95
2026/09/14 06:24:25.130, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1402, 3996, 1054.15, 1100.00, 54, 95
2026/09/14 06:24:25.330, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1395, 3996, 1055.20, 1100.00, 54, 94
2026/09/14 06:24:25.530, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1410, 3996, 1058.53, 1100.00, 54, 94
2026/09/14 06:24:25.731, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1395, 3996, 1058.52, 1100.00, 54, 94
2026/09/14 06:24:25.932, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1395, 3996, 1059.17, 1100.00, 54, 94
2026/09/14 06:24:26.133, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1410, 3996, 1057.59, 1100.00, 54, 95
2026/09/14 06:24:26.333, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 1432, 3996, 1060.69, 1100.00, 55, 95
2026/09/14 06:24:26.533, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2025, 3996, 932.32, 1100.00, 43, 0
2026/09/14 06:24:26.734, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 767.23, 1100.00, 41, 0
2026/09/14 06:24:26.934, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 615.42, 1100.00, 39, 0
2026/09/14 06:24:27.135, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 461.70, 1100.00, 38, 0
2026/09/14 06:24:27.335, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 303.67, 1100.00, 38, 1
