step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
8,2048,1,tma,1789333573911249600,1789333573911260256,8288,1280,0,0,168621434409165,168621434419360,19,3,2,19,19,0,0,0,10656,1088
8,2048,1,tma,1789333573911260416,1789333573911271648,8800,1248,0,0,168621434419492,168621434430512,19,15,4,19,19,0,1,0,11232,1184
8,2048,1,tma,1789333573911249600,1789333573911260128,8288,1120,0,0,168621434409165,168621434419230,34,4,2,20,20,0,0,0,10528,1120
8,2048,1,tma,1789333573911260288,1789333573911271520,9088,1120,0,0,168621434419364,168621434430393,34,8,5,20,20,0,1,0,11232,1024
8,2048,1,tma,1789333573911249600,1789333573911260192,8288,1152,0,0,168621434409166,168621434419299,35,5,2,21,21,0,0,0,10592,1152
8,2048,1,tma,1789333573911260352,1789333573911271584,9088,1280,0,0,168621434419433,168621434430452,35,9,5,21,21,0,1,0,11232,864
8,2048,1,tma,1789333573911249632,1789333573911260160,8416,1184,0,0,168621434409178,168621434419265,50,6,2,22,22,0,0,0,10528,928
8,2048,1,tma,1789333573911260320,1789333573911271616,9056,1120,0,0,168621434419398,168621434430473,50,10,5,22,22,0,1,0,11296,1120
8,2048,1,tma,1789333573911249632,1789333573911260128,8192,1184,0,0,168621434409184,168621434419214,51,7,2,23,23,0,0,0,10496,1120
8,2048,1,tma,1789333573911260256,1789333573911271584,9216,1120,0,0,168621434419349,168621434430431,51,11,5,23,23,0,1,0,11328,992
8,2048,1,tma,1789333573911249600,1789333573911260096,8320,1216,0,0,168621434409152,168621434419193,66,0,3,24,24,0,0,0,10496,960
8,2048,1,tma,1789333573911260224,1789333573911271456,9120,1088,0,0,168621434419325,168621434430325,66,12,5,24,24,0,1,0,11232,1024
8,2048,1,tma,1789333573911249600,1789333573911260032,8192,1248,0,0,168621434409153,168621434419150,67,1,3,25,25,0,0,0,10432,992
8,2048,1,tma,1789333573911260192,1789333573911271488,9088,1216,0,0,168621434419285,168621434430351,67,13,5,25,25,0,1,0,11296,992
