step,size,role,cta_rank,consumer,tile_ordinal,records,median_us,max_us,wait_pct,work_pct,handoff_pct,epilogue_pct,unmeasured_pct,cycles_per_ns
8,2048,mma,0,0,0,740,11.488,12.128,29.38973375417189,32.49731941948442,0.3979340652702478,0.0,37.71501276107344,0.9410405352948978
8,2048,mma,0,0,1,540,10.976,11.904,26.62402396900411,33.53073992445022,3.2370010723542757,0.0,36.608235034191395,0.9983168880093566
8,2048,tma,0,0,0,740,10.656,11.36,78.36576160043553,11.449500879605742,0.0,0.0,10.184737519958722,0.9468514820811549
8,2048,tma,0,0,1,540,11.136,11.776,80.19093459984133,10.449223429688042,0.0,0.0,9.359841970470628,0.9952027086832658
8,2048,writeback,0,0,0,740,14.112,14.784,82.63719930556198,2.2230034136007473,0.0,13.790391962774175,1.3494053180630976,0.9466993268492707
8,2048,writeback,0,0,1,540,10.496,11.36,81.73713732204001,2.7510587493242027,0.0,14.461502072445485,1.0503018561903046,1.0160304335968822
10,4096,mma,0,0,0,370,66.24,68.352,56.81068359005611,16.025779099333853,0.07184209973312039,0.0,27.09169521087692,0.9862141220453449
10,4096,mma,0,0,1,270,61.12,63.68,54.76028776978417,15.639328537170265,4.463884892086331,0.0,25.13649880095923,1.0897721320062859
10,4096,mma,0,1,0,370,66.24,68.384,56.1685160548079,15.914938214369673,0.07105117654707042,0.0,27.84549455427535,0.9863215908081464
10,4096,mma,0,1,1,270,61.184,63.712,54.20510371048154,15.696700792431331,4.458025693113655,0.0,25.640169803973475,1.089959083916904
10,4096,tma,0,0,0,370,64.096,67.552,89.49901284979819,5.54623434204586,0.0,0.0,4.954752808155949,0.9985671721755511
10,4096,tma,0,0,1,270,61.088,63.84,90.0676285028084,5.364899710987661,0.0,0.0,4.56747178620394,1.0945115660768974
10,4096,tma,1,0,0,370,64.128,67.584,89.86794653148993,5.246681811134554,0.0,0.0,4.885371657375513,0.9983864292922883
10,4096,tma,1,0,1,270,61.088,63.872,90.36305140872562,5.0556817285854665,0.0,0.0,4.581266862688915,1.094610093949358
10,4096,writeback,0,0,0,370,76.208,80.448,88.14282613365033,0.8623481827387169,0.0,9.426165698589536,1.5686599850214167,1.0135067567933413
10,4096,writeback,0,0,1,270,57.856,60.32,88.67490146482817,1.109774116048443,0.0,8.16255949969099,2.0527649194324047,1.0992697076083502
10,4096,writeback,0,1,0,370,75.968,80.704,88.29194466935189,0.8671747866795576,0.0,9.30911848807535,1.5317620558932015,1.0136113242661586
10,4096,writeback,0,1,1,270,58.08,60.384,88.7080758259437,1.1026855531472823,0.0,8.171046756069563,2.0181918648394603,1.0991358151407509
10,4096,writeback,1,0,0,370,75.936,79.968,88.35721462633315,0.8229533819237332,0.0,9.168001421713484,1.6518305700296418,1.0132516629418962
10,4096,writeback,1,0,1,270,58.144,60.672,88.71707166925208,1.0764962604953798,0.0,8.168610991636312,2.0378210786162305,1.0992213189451694
10,4096,writeback,1,1,0,370,76.064,80.0,88.29892006672019,0.8245521151777022,0.0,9.206815477715347,1.6697123403867722,1.013703681930911
10,4096,writeback,1,1,1,270,58.032,61.088,88.75190339528979,1.0734537082018476,0.0,8.204501198169474,1.9701416983388922,1.0991469304198336
