timestamp, uuid, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%]
2026/09/14 06:13:59.993, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.86, 1100.00, 35, 2
2026/09/14 06:14:00.193, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.86, 1100.00, 35, 0
2026/09/14 06:14:00.394, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.85, 1100.00, 35, 0
2026/09/14 06:14:00.594, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 35, 0
2026/09/14 06:14:00.794, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.84, 1100.00, 35, 0
2026/09/14 06:14:00.995, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.91, 1100.00, 35, 2
2026/09/14 06:14:01.195, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 0
2026/09/14 06:14:01.395, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 0
2026/09/14 06:14:01.596, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:01.796, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 0
2026/09/14 06:14:01.996, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.82, 1100.00, 35, 0
2026/09/14 06:14:02.197, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.78, 1100.00, 35, 0
2026/09/14 06:14:02.397, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.79, 1100.00, 35, 0
2026/09/14 06:14:02.597, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.83, 1100.00, 35, 0
2026/09/14 06:14:02.798, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.96, 1100.00, 35, 2
2026/09/14 06:14:02.998, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.95, 1100.00, 35, 0
2026/09/14 06:14:03.198, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.98, 1100.00, 35, 0
2026/09/14 06:14:03.399, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.98, 1100.00, 35, 0
2026/09/14 06:14:03.599, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.98, 1100.00, 35, 0
2026/09/14 06:14:03.799, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.00, 1100.00, 35, 2
2026/09/14 06:14:04.000, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.00, 1100.00, 35, 0
2026/09/14 06:14:04.200, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.00, 1100.00, 35, 0
2026/09/14 06:14:04.400, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.01, 1100.00, 35, 0
2026/09/14 06:14:04.601, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.09, 1100.00, 35, 0
2026/09/14 06:14:04.801, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:05.001, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:05.202, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:05.402, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.89, 1100.00, 35, 0
2026/09/14 06:14:05.602, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.93, 1100.00, 35, 2
2026/09/14 06:14:05.803, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.91, 1100.00, 35, 0
2026/09/14 06:14:06.003, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.91, 1100.00, 35, 0
2026/09/14 06:14:06.203, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:06.404, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.90, 1100.00, 35, 0
2026/09/14 06:14:06.604, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 247.99, 1100.00, 35, 0
2026/09/14 06:14:06.804, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.00, 1100.00, 35, 0
2026/09/14 06:14:07.005, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.02, 1100.00, 35, 0
2026/09/14 06:14:07.205, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, P0, 2032, 3996, 248.04, 1100.00, 35, 0
