step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms,paired_cache_speedup,comparison_control,paired_control_speedup
10,4096,baseline,0.13912479877471923,0.13901119232177733,0.14029760360717775,1.0,987.8824960210791,0.1391,SLOW,"[0.14029760360717775, 0.13907626469930012, 0.13901119232177733, 0.13911253611246746, 0.13921386400858562, 0.13904213905334473, 0.13913706143697102, 0.1391775925954183]",,baseline,1.0
10,4096,tmem_l2_group4,0.1400912046432495,0.139793062210083,0.14043307304382324,0.993604176287315,981.0676824572704,0.1391,SLOW,"[0.14043307304382324, 0.14006293614705403, 0.14037119547526042, 0.14011947313944498, 0.14035627047220867, 0.139793062210083, 0.1399413267771403, 0.13988587061564128]",,baseline,0.993604176287315
10,4096,tmem_l2_group2,0.13997492790222166,0.13977707227071126,0.14041600227355958,0.994570796887665,981.882652356191,0.1391,SLOW,"[0.14041600227355958, 0.13977707227071126, 0.14025920232137043, 0.139847469329834, 0.13993172645568847, 0.1400704065958659, 0.13992106119791667, 0.14001812934875488]",,baseline,0.994570796887665
10,4096,tmem_l2_group1,0.1397168000539144,0.13866133689880372,0.14002559979756674,0.9959123888688042,983.6966880072016,0.1391,SLOW,"[0.13881386121114095, 0.13866133689880372, 0.13975680669148763, 0.13958187103271485, 0.13967679341634115, 0.14002559979756674, 0.139956267674764, 0.13985066413879393]",,baseline,0.9959123888688042
