step,M,N,K,runs,median_ms,min_ms,max_ms,tflops_at_median,limit_ms,slowest_margin_pct,samples_ms
1,128,128,64,5,0.005430399874846141,0.005386666456858317,0.005482666691144307,0.38618739841132205,0.1365,95.98339436546205,"[0.005482666691144307, 0.005430399874846141, 0.005474133292833964, 0.005403733253479004, 0.005386666456858317]"
2,128,128,64,5,0.005437866846720377,0.005392000079154968,0.005465599894523621,0.38565710766985956,0.1365,95.99589751316951,"[0.005465599894523621, 0.005415466427803039, 0.005392000079154968, 0.005437866846720377, 0.0054506664474805195]"
2,128,128,512,5,0.010458667079607646,0.010434133807818095,0.010476799805959065,1.6041447607326833,1.0907,99.03944257761447,"[0.010434133807818095, 0.010468266407648722, 0.010476799805959065, 0.010458667079607646, 0.010439466436703999]"
2,128,128,1024,5,0.01660160024960836,0.01656000018119812,0.016607999801635742,2.0211564846462053,2.1814,99.23865408445788,"[0.01656000018119812, 0.01660160024960836, 0.01660266617933909, 0.01656000018119812, 0.016607999801635742]"
2,128,128,4096,5,0.05140159924825032,0.05136959950129191,0.051413333415985106,2.6111586013458266,8.724300000000001,99.41068815359415,"[0.05136959950129191, 0.05140159924825032, 0.05137600104014079, 0.051402668158213295, 0.051413333415985106]"
3,256,256,256,5,0.008354133367538452,0.008337066570917765,0.008410666386286418,4.016506622982824,0.4849,98.26548435011622,"[0.008337066570917765, 0.008378666639328004, 0.008354133367538452, 0.008410666386286418, 0.00835093359152476]"
3,512,512,512,5,0.010439466436703999,0.010384000341097514,0.010473600029945374,25.71352258542744,0.9698,98.92002474428281,"[0.010384000341097514, 0.010422399640083313, 0.010439466436703999, 0.010473600029945374, 0.010471466183662414]"
3,1024,1024,1024,5,0.016562133034070333,0.016544000307718913,0.01660266617933909,129.662262921229,1.9526000000000001,99.14971493499236,"[0.01660266617933909, 0.016597333550453185, 0.016544000307718913, 0.016562133034070333, 0.016557866334915163]"
3,2048,2048,2048,5,0.05345066785812378,0.05342719952265421,0.053489065170288085,321.415426082256,7.8091,99.31504187204303,"[0.05342719952265421, 0.053489065170288085, 0.053436799844106035, 0.053480533758799235, 0.05345066785812378]"
4,256,256,256,5,0.006389333307743073,0.006359466910362243,0.0064085334539413456,5.251632742235599,0.0182,64.78827772559701,"[0.006389333307743073, 0.0064085334539413456, 0.006388266881306966, 0.006390400230884552, 0.006359466910362243]"
4,512,512,512,5,0.008385066191355388,0.008378666639328004,0.00842026670773824,32.01351663469806,0.0195,56.819145088521836,"[0.008385066191355388, 0.00839573343594869, 0.008378666639328004, 0.008378666639328004, 0.00842026670773824]"
4,1024,1024,1024,5,0.012456533312797547,0.01244586706161499,0.012481066584587096,172.39817805438102,0.0221,43.52458559010364,"[0.012467199563980102, 0.012456533312797547, 0.01244586706161499, 0.012449066837628682, 0.012481066584587096]"
4,2048,2048,2048,5,0.020809600750605266,0.020728532473246256,0.020844799280166627,825.5741851991229,0.0676,69.16449810626239,"[0.02076266606648763, 0.020819199085235596, 0.020844799280166627, 0.020728532473246256, 0.020809600750605266]"
5,512,512,512,5,0.0074197332064310706,0.007406933108965555,0.007451733450094858,36.1785860126794,0.0169,55.9069026621606,"[0.0074314668774604796, 0.007411199808120728, 0.007406933108965555, 0.007451733450094858, 0.0074197332064310706]"
5,1024,1024,1024,5,0.01042560040950775,0.010408533612887065,0.01046399970849355,205.98177214250188,0.015600000000000001,32.923078791708015,"[0.010433066884676616, 0.01042560040950775, 0.010418132940928141, 0.01046399970849355, 0.010408533612887065]"
5,2048,2048,2048,5,0.019911466042200725,0.01977493365605672,0.019962666432062785,862.8128711160027,0.0429,53.466978013839665,"[0.01977493365605672, 0.019911466042200725, 0.019938133160273232, 0.01981333295504252, 0.019962666432062785]"
5,4096,4096,4096,5,0.15048425992329914,0.15038506189982095,0.15066240628560384,913.311156542563,0.3536,57.391853426017015,"[0.15048425992329914, 0.15039679209391277, 0.15054720242818195, 0.15066240628560384, 0.15038506189982095]"
6,1024,1024,1024,5,0.008419199784596761,0.008405333757400513,0.00849173367023468,255.0698050815828,0.0169,49.75305520571195,"[0.008405333757400513, 0.008451199531555176, 0.008413867155710856, 0.00849173367023468, 0.008419199784596761]"
6,2048,2048,2048,5,0.02481279969215393,0.02477546731630961,0.024835199117660522,692.3793121754195,0.045500000000000006,45.417144796350506,"[0.02481279969215393, 0.02481493353843689, 0.02479040026664734, 0.024835199117660522, 0.02477546731630961]"
6,4096,4096,4096,5,0.1555733362833659,0.15553706487019855,0.15581226348876953,883.4351486919622,0.3107,49.851218703324896,"[0.15554025967915852, 0.1555733362833659, 0.15581226348876953, 0.15553706487019855, 0.15573973655700685]"
6,8192,8192,8192,5,1.3398709615071616,1.339412307739258,1.3405291239420574,820.6100881081921,2.7859,51.88164959467112,"[1.3394954681396485, 1.3400564829508463, 1.3398709615071616, 1.339412307739258, 1.3405291239420574]"
7,1024,1024,1024,5,0.008444799979527792,0.008387200037638346,0.008546132842699687,254.29656749786997,0.0169,49.43116661124445,"[0.008546132842699687, 0.008387200037638346, 0.008459732929865519, 0.008444799979527792, 0.00842133363087972]"
7,2048,2048,2048,5,0.02227519949277242,0.02190399964650472,0.022435200214385987,771.2554578725237,0.0403,44.329528004005006,"[0.022297600905100506, 0.022256000836690267, 0.02227519949277242, 0.022435200214385987, 0.02190399964650472]"
7,4096,4096,4096,5,0.14276906649271648,0.14259626070658366,0.14291200637817383,962.6661912719838,0.29900000000000004,52.203342348436856,"[0.14277013142903647, 0.14276906649271648, 0.14291200637817383, 0.14269013404846193, 0.14259626070658366]"
7,8192,8192,8192,5,1.2777268727620443,1.2754901885986327,1.2826517740885417,860.5216429386047,2.6975000000000002,52.45035128494748,"[1.2809557596842447, 1.2777268727620443, 1.2826517740885417, 1.2754901885986327, 1.275932820638021]"
8,1024,1024,1024,5,0.008373333017031352,0.008365866541862488,0.008424533406893413,256.4670058663641,0.0182,53.71135490717906,"[0.008373333017031352, 0.008424533406893413, 0.008368000388145447, 0.008365866541862488, 0.00839573343594869]"
8,2048,2048,2048,5,0.018337066968282065,0.017934934298197428,0.018556799491246542,936.8929727811055,0.0299,37.93712544733597,"[0.018337066968282065, 0.018172800540924072, 0.01844053268432617, 0.017934934298197428, 0.018556799491246542]"
8,4096,4096,4096,5,0.11893119812011718,0.11870613098144531,0.11908053557078044,1155.6173287112647,0.1716,30.605748501876207,"[0.11877760092417398, 0.11895786921183268, 0.11870613098144531, 0.11893119812011718, 0.11908053557078044]"
8,8192,8192,8192,5,1.013804817199707,1.0135552088419597,1.0185738881429036,1084.5397547163261,1.4417,29.34910951356706,"[1.013804817199707, 1.0135552088419597, 1.0185738881429036, 1.0151498794555665, 1.0136800130208334]"
9,1024,1024,1024,5,0.012417067090670269,0.012173866232236227,0.012495999534924826,172.94612587005676,0.0195,35.91795110294961,"[0.012459733088811238, 0.012173866232236227, 0.012495999534924826, 0.012417067090670269, 0.012364799777666727]"
9,2048,2048,2048,5,0.016772266228993735,0.01670080025990804,0.016888533035914102,1024.3021992044016,0.0299,43.51661192001972,"[0.016850133736928303, 0.016772266228993735, 0.016888533035914102, 0.01670080025990804, 0.016705065965652466]"
9,4096,4096,4096,5,0.09867306550343831,0.09829866886138916,0.09872960249582927,1392.8720342352278,0.15080000000000002,34.5294413157631,"[0.09872960249582927, 0.09867306550343831, 0.09829866886138916, 0.09869546890258789, 0.09851733048756918]"
9,8192,8192,8192,5,0.7027349472045898,0.7002965291341146,0.7030709584554037,1564.6178294529802,1.0244,31.36753626948422,"[0.7030709584554037, 0.7027349472045898, 0.7002965291341146, 0.7002965291341146, 0.7028224309285481]"
10,1024,1024,1024,5,0.010829866925875346,0.010786133011182149,0.010915199915568033,198.29270873763994,0.0325,66.4147694905599,"[0.010829866925875346, 0.010786133011182149, 0.010823466380437215, 0.010915199915568033, 0.010850133498509724]"
10,2048,2048,2048,5,0.01668799916903178,0.0165802667538325,0.01670080025990804,1029.4744750395837,0.045500000000000006,63.294944483718595,"[0.01668799916903178, 0.0165802667538325, 0.016689066092173258, 0.016622933745384216, 0.01670080025990804]"
10,4096,4096,4096,5,0.09429546991984049,0.09426133632659912,0.09472533067067464,1457.5350606856862,0.1391,31.901271983699043,"[0.09429546991984049, 0.09428160190582276, 0.09437759717305501, 0.09426133632659912, 0.09472533067067464]"
10,8192,8192,8192,5,0.6444714864095052,0.6427701314290365,0.6494069417317708,1706.067143329529,0.9464,31.381345970861073,"[0.6489429473876953, 0.6439146677652995, 0.6427701314290365, 0.6444714864095052, 0.6494069417317708]"
