id,step,size,control,candidate,trials,control_median_ms,candidate_median_ms,paired_speedup,paired_latency_reduction_pct,paired_saving_us,faster_pairs,candidate_first_count,positions_balanced,control_positions,candidate_positions,decision,source
s10_n128_2048,10,2048,baseline,n128_epi32,7,0.043304534753163655,0.027029333511988322,1.606505511611957,37.7530924872703,16.348801056543984,7,3,False,"[4, 0, 3, 0]","[3, 0, 4, 0]",adopted_for_shape,results_b300/step10_tmem_sizes.I9nGIJ/step10_2048/samples.json
s10_n128_only4096,10,4096,baseline,n_tile_128,7,0.13812905947367352,0.14020907084147136,0.9836315386460213,-1.6640846405260756,-2.2954781850179073,0,1,False,"[4, 0, 3, 0]","[0, 3, 0, 4]",not_adopted_alone,results_b300/step10_tmem_sizes.I9nGIJ/step10_4096/samples.json
s10_epi32_4096,10,4096,n_tile_128,n128_epi32,7,0.14020907084147136,0.13886079788208008,1.0109130485199473,1.079523954698658,1.5168031056722042,7,5,False,"[0, 3, 0, 4]","[3, 0, 4, 0]",adopted_in_combination,results_b300/step10_tmem_sizes.I9nGIJ/step10_4096/samples.json
s10_double4096,10,4096,n128_epi32,n128_tmem_double_buffer,7,0.13886079788208008,0.13742186228434244,1.0096524784787273,0.9560198864931313,1.3301372528076172,7,2,False,"[3, 0, 4, 0]","[0, 4, 0, 3]",adopted_for_shape,results_b300/step10_tmem_sizes.I9nGIJ/step10_4096/samples.json
s10_combined4096,10,4096,baseline,n128_tmem_double_buffer,7,0.13812905947367352,0.13742186228434244,1.004499037497489,0.4478886817748884,0.6186644236246819,7,2,False,"[4, 0, 3, 0]","[0, 4, 0, 3]",adopted_for_shape,results_b300/step10_tmem_sizes.I9nGIJ/step10_4096/samples.json
s10_combined8192,10,8192,baseline,n128_tmem_double_buffer,7,0.8685429255167644,0.9025215784708659,0.962622196867352,-3.8829151513736226,-33.72478485107422,0,2,False,"[4, 0, 3, 0]","[0, 4, 0, 3]",not_adopted_for_shape,results_b300/step10_tmem_sizes.I9nGIJ/step10_8192/samples.json
s10_k64_depth2,10,4096,baseline,tmem_input_depth2,7,0.13923840522766112,0.2241045316060384,0.6205422468677774,-61.14938266452565,-85.23734410603839,0,1,False,"[4, 0, 3, 0]","[0, 3, 0, 4]",not_adopted,results_b300/step10_input_ring.9SsKZM/step10/samples.json
s10_k128_depth2,10,4096,baseline,tmem_k128_depth2,7,0.13923840522766112,0.16675519943237305,0.834347218131543,-19.85417800510245,-27.623462677001942,0,3,False,"[4, 0, 3, 0]","[3, 0, 4, 0]",not_adopted,results_b300/step10_input_ring.9SsKZM/step10/samples.json
s10_depth5,10,4096,baseline,tmem_input_depth5,8,0.13904159863789878,0.13868906497955322,1.0031392152091916,0.3129385683454611,0.43520132700602954,8,4,True,"[4, 4]","[4, 4]",candidate_not_adopted,results_b300/step10_depth5_balanced.Fm3CcJ/step10_4096/samples.json
s10_l2_4,10,4096,baseline,tmem_l2_group4,8,0.13912479877471923,0.1400912046432495,0.993604176287315,-0.643742253014068,-0.8954683939615959,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_l2.nqNoLW/step10_4096/samples.json
s10_l2_2,10,4096,baseline,tmem_l2_group2,8,0.13912479877471923,0.13997492790222166,0.994570796887665,-0.5458871023330647,-0.7594664891560909,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_l2.nqNoLW/step10_4096/samples.json
s10_l2_1,10,4096,baseline,tmem_l2_group1,8,0.13912479877471923,0.1397168000539144,0.9959123888688042,-0.4104920657469924,-0.5712032318115207,2,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_l2.nqNoLW/step10_4096/samples.json
s10_maxclusters,10,4096,baseline,tmem_max_clusters,8,0.1090005358060201,0.11373120148976644,0.9546769301761477,-4.748472397943404,-5.2048007647196375,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_geometry.PywrmG/step10_4096/samples.json
s10_n64,10,4096,tmem_max_clusters,tmem_n64,8,0.11373120148976644,0.14777066707611086,0.7758708150159478,-28.887984931084898,-33.13920100529988,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_geometry.PywrmG/step10_4096/samples.json
s10_n64depth5,10,4096,tmem_n64,tmem_n64_depth5,8,0.14777066707611086,0.13539466857910154,1.0989892806354982,9.007206969288628,12.375998497009295,8,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_geometry.PywrmG/step10_4096/samples.json
s10_n64depth5_total,10,4096,baseline,tmem_n64_depth5,8,0.1090005358060201,0.13539466857910154,0.8050645502784044,-24.217168819903065,-24.939203262329094,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_geometry.PywrmG/step10_4096/samples.json
s10_batch_fixed,10,4096,mma_unroll4,mma_batch_unroll4,5,0.1383519967397054,0.13834346135457357,0.9982067644098755,-0.17964570608621777,-0.2485434214274107,2,3,False,"[1, 2, 2]","[2, 2, 1]",not_adopted,results_b300/step10_mma_unroll4.iR07fS/step10/samples.json
s10_shared_a,10,4096,tmem_input_depth5,tmem_share_a_depth5,201,0.1128223975499471,0.1120031992594401,1.0043712125707454,0.43521882308403814,0.4906654357910156,179,150,False,"[0, 101, 0, 100]","[100, 0, 101, 0]",candidate_not_adopted,results_b300/step10_share_a_state.fGOjDy/step10/samples.json
s10_epi64,10,4096,baseline,tmem_epi64,8,0.13920533657073975,0.1414517323176066,0.9841190587919741,-1.6137256701026947,-2.2463957468668583,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_epilogue.xVWC2d/step10_4096/samples.json
s10_epi128,10,4096,baseline,tmem_epi128,8,0.13920533657073975,0.1433904012044271,0.9710835001100937,-2.9777789744475314,-4.149333635965979,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_epilogue.xVWC2d/step10_4096/samples.json
s10_epi32_double,10,4096,baseline,tmem_epi32_double,8,0.13920533657073975,0.1407871961593628,0.9889199870419445,-1.1204432172741141,-1.5599886576334598,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_epilogue.xVWC2d/step10_4096/samples.json
s10_split_ready,10,4096,baseline,tmem_split_ready,8,0.1390175978342692,0.13897279898325604,1.000491993204359,0.04916704008766093,0.06826718648275665,5,4,True,"[4, 4]","[4, 4]",not_adopted,results_b300/step10_ready.FAnkEQ/step10_4096/samples.json
s10_input_sw64,10,4096,baseline,tmem_k64_sw64,8,0.1389562686284383,0.17813119888305665,0.7803065672614691,-28.154758956019844,-39.13013935089111,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_granularity.nVKp6r/step10_4096/samples.json
s10_k32depth8,10,4096,tmem_k64_sw64,tmem_k32_depth8,8,0.17813119888305665,0.17819679578145345,0.9989260115531142,-0.10758218298266842,-0.1914580663045229,3,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_granularity.nVKp6r/step10_4096/samples.json
s10_k32depth8_total,10,4096,baseline,tmem_k32_depth8,8,0.1389562686284383,0.17819679578145345,0.7796420455073856,-28.264033876403015,-39.2746607462565,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_granularity.nVKp6r/step10_4096/samples.json
s10_k32depth10,10,4096,tmem_k32_depth8,tmem_k32_depth10,8,0.17819679578145345,0.1790437380472819,0.9954112288342265,-0.46114844837280566,-0.8218685785929408,1,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_granularity.nVKp6r/step10_4096/samples.json
s10_k32depth10_total,10,4096,baseline,tmem_k32_depth10,8,0.1389562686284383,0.1790437380472819,0.7769014212306191,-28.716488141198205,-39.94720776875814,0,4,True,"[2, 2, 2, 2]","[2, 2, 2, 2]",not_adopted,results_b300/step10_granularity.nVKp6r/step10_4096/samples.json
