step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda,samples_ms,cublas_samples_ms,git_revision,git_dirty,gemm_kernels_sha256,utils_sha256,benchmark_sha256,benchmark_diagnostics_sha256,compiler,ptxas_reg_level,TVM_CUDA_PTXAS_EXTRA_OPTS,TVM_CUDA_NVRTC_EXTRA_OPTS,TVM_CUDA_NVCC_NO_FAST_MATH,TVM_KERNEL_DEBUG,TVM_KERNEL_DUMP,CUDA_LAUNCH_BLOCKING,CUDA_VISIBLE_DEVICES,target
6,1024,1024,1024,0.014474667112032573,0.014432000120480855,0.014926933248837789,148.36152233268487,0.006948266426722209,0.4800294454403182,0.013,0.0169,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.014926933248837789, 0.014474667112032573, 0.014452266693115234, 0.014476799964904785, 0.014432000120480855]","[0.00696319987376531, 0.006948266426722209, 0.006862933437029521, 0.00773119976123174, 0.006821333368619283]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,2048,2048,2048,0.041347201665242514,0.04112000068028768,0.041384534041086836,415.5025852315859,0.021397332350413006,0.5175037605604187,0.035,0.045500000000000006,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.041384534041086836, 0.04119146664937337, 0.04112000068028768, 0.041347201665242514, 0.04136213461558024]","[0.021730132897694907, 0.02146773338317871, 0.02138239940007528, 0.021347200870513915, 0.021397332350413006]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,4096,4096,4096,0.24843519528706867,0.24814613660176596,0.24906454086303711,553.2185297384627,0.13013013203938803,0.5237991013673474,0.239,0.3107,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.24906454086303711, 0.24814613660176596, 0.24843519528706867, 0.24864640235900878, 0.24834453264872233]","[0.13065386613210042, 0.12995839913686116, 0.13013013203938803, 0.12981119950612385, 0.13039999802907307]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
6,8192,8192,8192,1.9702218373616536,1.9698827107747396,1.9732021331787108,558.0648873775395,0.8655221303304036,0.43930186637735885,2.143,2.7859,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[1.9732021331787108, 1.9702176411946615, 1.9702954610188803, 1.9698827107747396, 1.9702218373616536]","[0.861193593343099, 0.8631327946980795, 0.8655221303304036, 0.8665536244710287, 0.8673674901326497]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
7,1024,1024,1024,0.014468266566594442,0.014434132973353069,0.014529066284497578,148.4271552584117,0.006805333495140076,0.4703627392968281,0.013,0.0169,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.014529066284497578, 0.014509866635004679, 0.014468266566594442, 0.014434132973353069, 0.014459733168284099]","[0.006814933319886526, 0.006753066678841909, 0.0068234667181968685, 0.006805333495140076, 0.006773333251476288]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
7,2048,2048,2048,0.034962133566538496,0.03492799997329712,0.03512746493021647,491.3850337910294,0.021415466070175172,0.6125331576065899,0.031,0.0403,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.03512746493021647, 0.03492799997329712, 0.034946131706237796, 0.035019731521606444, 0.034962133566538496]","[0.021704532702763877, 0.021642667055130006, 0.021415466070175172, 0.021192532777786256, 0.021223467588424683]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
7,4096,4096,4096,0.21953066190083823,0.21909440358479818,0.21993813514709473,626.0581200000255,0.13024213314056396,0.5932753630533588,0.23,0.29900000000000004,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[0.21973867416381837, 0.21953066190083823, 0.21909440358479818, 0.21993813514709473, 0.21932053565979004]","[0.1307744026184082, 0.13024213314056396, 0.13029013474782308, 0.12975467046101888, 0.13006079991658528]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
7,8192,8192,8192,1.867681121826172,1.8665760040283204,1.872214380900065,588.7041502571515,0.8651989618937175,0.4632476881533972,2.075,2.6975000000000002,PASS,0,10,30,5,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,"[1.872214380900065, 1.8685002644856772, 1.8665760040283204, 1.8666634877522787, 1.867681121826172]","[0.8568405151367188, 0.8650293350219727, 0.8651989618937175, 0.8661461512247721, 0.8668181101481119]",ade5040df3639ff45f1235d40401d2d413612660,True,11a94f0b64a8f5a1034f432eea11865c7d0fe4ef7bb53c26e35ca615be397aad,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
