metric,value,unit
sm__inst_executed_pipe_fp64.max.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64.sum.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64.sum.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_dmma.avg.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_dmma.avg.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_dmma.max.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_dmma.max.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_dmma.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_dmma.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_dmma.sum.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_dmma.sum.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_fp64.avg.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_fp64.avg.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_fp64.max.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_fp64.max.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_fp64.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_fp64.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fp64_op_fp64.sum.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fp64_op_fp64.sum.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_ipa.avg.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_ipa.max.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_ipa.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_ipa.sum.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,0.579690,%
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,0.477685,%
sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_active,0.670267,%
sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,0.552323,%
sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_active,0.579690,%
sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,0.477685,%
sm__inst_executed_pipe_tc.avg.pct_of_peak_sustained_active,0.450520,%
sm__inst_executed_pipe_tc.avg.pct_of_peak_sustained_elapsed,0.371244,%
sm__inst_executed_pipe_tc.max.pct_of_peak_sustained_active,1.041018,%
sm__inst_executed_pipe_tc.max.pct_of_peak_sustained_elapsed,0.857835,%
sm__inst_executed_pipe_tc.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_tc.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_tc.sum.pct_of_peak_sustained_active,0.450520,%
sm__inst_executed_pipe_tc.sum.pct_of_peak_sustained_elapsed,0.371244,%
sm__inst_executed_pipe_tensor_subpipe_hmma.avg.pct_of_peak_sustained_active,0.716912,%
sm__inst_executed_pipe_tensor_subpipe_hmma.avg.pct_of_peak_sustained_elapsed,0.590760,%
sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,0.033605,%
sm__inst_executed_pipe_tex.avg.pct_of_peak_sustained_elapsed,0.027692,%
sm__inst_executed_pipe_tex.max.pct_of_peak_sustained_active,0.038856,%
sm__inst_executed_pipe_tex.max.pct_of_peak_sustained_elapsed,0.032019,%
sm__inst_executed_pipe_tex.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_tex.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_tex.sum.pct_of_peak_sustained_active,0.033605,%
sm__inst_executed_pipe_tex.sum.pct_of_peak_sustained_elapsed,0.027692,%
sm__inst_executed_pipe_tma.avg.pct_of_peak_sustained_active,0.291245,%
sm__inst_executed_pipe_tma.avg.pct_of_peak_sustained_elapsed,0.239996,%
sm__inst_executed_pipe_tma.max.pct_of_peak_sustained_active,0.336752,%
sm__inst_executed_pipe_tma.max.pct_of_peak_sustained_elapsed,0.277496,%
sm__inst_executed_pipe_tma.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_tma.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_tma.sum.pct_of_peak_sustained_active,0.291245,%
sm__inst_executed_pipe_tma.sum.pct_of_peak_sustained_elapsed,0.239996,%
sm__inst_executed_pipe_tmem.avg.pct_of_peak_sustained_active,0.022403,%
sm__inst_executed_pipe_tmem.avg.pct_of_peak_sustained_elapsed,0.018461,%
sm__inst_executed_pipe_tmem.max.pct_of_peak_sustained_active,0.025904,%
sm__inst_executed_pipe_tmem.max.pct_of_peak_sustained_elapsed,0.021346,%
sm__inst_executed_pipe_tmem.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_tmem.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_tmem.sum.pct_of_peak_sustained_active,0.022403,%
sm__inst_executed_pipe_tmem.sum.pct_of_peak_sustained_elapsed,0.018461,%
sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_active,0.653727,%
sm__inst_executed_pipe_uniform.avg.pct_of_peak_sustained_elapsed,0.538693,%
sm__inst_executed_pipe_uniform.max.pct_of_peak_sustained_active,1.007019,%
sm__inst_executed_pipe_uniform.max.pct_of_peak_sustained_elapsed,0.829819,%
sm__inst_executed_pipe_uniform.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_uniform.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_uniform.sum.pct_of_peak_sustained_active,0.653727,%
sm__inst_executed_pipe_uniform.sum.pct_of_peak_sustained_elapsed,0.538693,%
sm__inst_executed_pipe_workid.avg.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_workid.avg.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_workid.max.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_workid.max.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_workid.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_workid.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_workid.sum.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_workid.sum.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_elapsed,0,%
sm__inst_issued.avg.pct_of_peak_sustained_elapsed,2.746707,%
sm__inst_issued.avg.per_cycle_active,0.133330,inst/cycle
sm__inst_issued.max.pct_of_peak_sustained_elapsed,4.670398,%
sm__inst_issued.max.per_cycle_active,0.226709,inst/cycle
sm__inst_issued.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_issued.min.per_cycle_active,0,inst/cycle
sm__inst_issued.sum.pct_of_peak_sustained_elapsed,2.746707,%
sm__inst_issued.sum.per_cycle_active,19.732794,inst/cycle
sm__instruction_throughput.avg.pct_of_peak_sustained_elapsed,75.687654,%
sm__instruction_throughput.max.pct_of_peak_sustained_elapsed,87.513850,%
sm__instruction_throughput.min.pct_of_peak_sustained_elapsed,0,%
sm__instruction_throughput.sum.pct_of_peak_sustained_elapsed,75.687654,%
sm__instruction_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,0,%
sm__instruction_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,0,%
sm__instruction_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,0,%
sm__instruction_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,0,%
sm__issue_active.avg.pct_of_peak_sustained_elapsed,2.746707,%
sm__issue_active.max.pct_of_peak_sustained_elapsed,4.670398,%
sm__issue_active.min.pct_of_peak_sustained_elapsed,0,%
sm__issue_active.sum.pct_of_peak_sustained_elapsed,2.746707,%
sm__maximum_warps_avg_per_active_cycle,12.000000,warp
sm__maximum_warps_per_active_cycle_pct,18.750000,%
sm__mem_tensor_cycles_active.avg.pct_of_peak_sustained_active,92.123210,%
sm__mem_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,75.912705,%
sm__mem_tensor_cycles_active.max.pct_of_peak_sustained_active,106.522243,%
sm__mem_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,87.778005,%
sm__mem_tensor_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__mem_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__mem_tensor_cycles_active.sum.pct_of_peak_sustained_active,92.123210,%
sm__mem_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,75.912705,%
sm__memory_throughput.avg.pct_of_peak_sustained_elapsed,75.912705,%
sm__memory_throughput.max.pct_of_peak_sustained_elapsed,87.778005,%
sm__memory_throughput.min.pct_of_peak_sustained_elapsed,0,%
sm__memory_throughput.sum.pct_of_peak_sustained_elapsed,75.912705,%
sm__memory_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,0.106152,%
sm__memory_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,0.122738,%
sm__memory_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,0,%
sm__memory_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,0.106152,%
sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,4.748219,%
sm__mio2rf_writeback_active.max.pct_of_peak_sustained_elapsed,5.490378,%
sm__mio2rf_writeback_active.min.pct_of_peak_sustained_elapsed,0,%
sm__mio2rf_writeback_active.sum.pct_of_peak_sustained_elapsed,4.748219,%
sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed,0.870185,%
sm__mio_inst_issued.max.pct_of_peak_sustained_elapsed,1.305764,%
sm__mio_inst_issued.min.pct_of_peak_sustained_elapsed,0,%
sm__mio_inst_issued.sum.pct_of_peak_sustained_elapsed,0.870185,%
sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed,3.686039,%
sm__mio_pq_read_cycles_active.max.pct_of_peak_sustained_elapsed,6.696583,%
sm__mio_pq_read_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__mio_pq_read_cycles_active.sum.pct_of_peak_sustained_elapsed,3.686039,%
sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed,3.701642,%
sm__mio_pq_write_cycles_active.max.pct_of_peak_sustained_elapsed,6.707256,%
sm__mio_pq_write_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__mio_pq_write_cycles_active.sum.pct_of_peak_sustained_elapsed,3.701642,%
sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_active,1.999161,%
sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,1.647378,%
sm__pipe_alu_cycles_active.max.pct_of_peak_sustained_active,3.171220,%
sm__pipe_alu_cycles_active.max.pct_of_peak_sustained_elapsed,2.613195,%
sm__pipe_alu_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__pipe_alu_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_alu_cycles_active.sum.pct_of_peak_sustained_active,1.999161,%
sm__pipe_alu_cycles_active.sum.pct_of_peak_sustained_elapsed,1.647378,%
sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,0.450608,%
sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,0.371316,%
sm__pipe_fma_cycles_active.max.pct_of_peak_sustained_active,0.855440,%
sm__pipe_fma_cycles_active.max.pct_of_peak_sustained_elapsed,0.704912,%
sm__pipe_fma_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__pipe_fma_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_fma_cycles_active.sum.pct_of_peak_sustained_active,0.450608,%
sm__pipe_fma_cycles_active.sum.pct_of_peak_sustained_elapsed,0.371316,%
sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed,0.742633,%
sm__pipe_fmaheavy_cycles_active.max.pct_of_peak_sustained_elapsed,1.409825,%
sm__pipe_fmaheavy_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_fmaheavy_cycles_active.sum.pct_of_peak_sustained_elapsed,0.742633,%
sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active,0,%
sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,0,%
sm__pipe_fp64_cycles_active.max.pct_of_peak_sustained_active,0,%
sm__pipe_fp64_cycles_active.max.pct_of_peak_sustained_elapsed,0,%
sm__pipe_fp64_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__pipe_fp64_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_fp64_cycles_active.sum.pct_of_peak_sustained_active,0,%
sm__pipe_fp64_cycles_active.sum.pct_of_peak_sustained_elapsed,0,%
sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_active,91.850102,%
sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,75.687654,%
sm__pipe_tc_cycles_active.max.pct_of_peak_sustained_active,106.201681,%
sm__pipe_tc_cycles_active.max.pct_of_peak_sustained_elapsed,87.513850,%
sm__pipe_tc_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__pipe_tc_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_tc_cycles_active.sum.pct_of_peak_sustained_active,91.850102,%
sm__pipe_tc_cycles_active.sum.pct_of_peak_sustained_elapsed,75.687654,%
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,91.764689,%
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,75.617271,%
sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_active,106.102921,%
sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,87.432470,%
sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_active,91.764689,%
sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,75.617271,%
sm__pipe_tensor_subpipe_hmma_cycles_active.avg.pct_of_peak_sustained_active,91.764689,%
sm__pipe_tensor_subpipe_hmma_cycles_active.avg.pct_of_peak_sustained_elapsed,75.617271,%
sm__pipe_tensor_subpipe_imma_cycles_active.avg.pct_of_peak_sustained_active,0,%
sm__pipe_tensor_subpipe_imma_cycles_active.avg.pct_of_peak_sustained_elapsed,0,%
sm__pipe_tma_cycles_active.avg.pct_of_peak_sustained_active,0.571289,%
sm__pipe_tma_cycles_active.avg.pct_of_peak_sustained_elapsed,0.470762,%
sm__pipe_tma_cycles_active.max.pct_of_peak_sustained_active,0.660553,%
sm__pipe_tma_cycles_active.max.pct_of_peak_sustained_elapsed,0.544318,%
sm__pipe_tma_cycles_active.min.pct_of_peak_sustained_active,0,%
sm__pipe_tma_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_tma_cycles_active.sum.pct_of_peak_sustained_active,0.571289,%
sm__pipe_tma_cycles_active.sum.pct_of_peak_sustained_elapsed,0.470762,%
sm__pipe_xu_cycles_active.avg.pct_of_peak_sustained_elapsed,0,%
sm__pipe_xu_cycles_active.max.pct_of_peak_sustained_elapsed,0,%
sm__pipe_xu_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
sm__pipe_xu_cycles_active.sum.pct_of_peak_sustained_elapsed,0,%
sm__throughput.avg.pct_of_peak_sustained_elapsed,75.912705,%
sm__throughput.max.pct_of_peak_sustained_elapsed,87.778005,%
sm__throughput.min.pct_of_peak_sustained_elapsed,0,%
sm__throughput.sum.pct_of_peak_sustained_elapsed,75.912705,%
sm__warps_active.avg.pct_of_peak_sustained_active,18.700748,%
sm__warps_active.avg.per_cycle_active,11.968479,warp
sm__warps_active.max.pct_of_peak_sustained_active,21.712715,%
sm__warps_active.max.per_cycle_active,13.896138,warp
sm__warps_active.min.pct_of_peak_sustained_active,0,%
sm__warps_active.min.per_cycle_active,0,warp
sm__warps_active.sum.pct_of_peak_sustained_active,18.700748,%
sm__warps_active.sum.per_cycle_active,1771.334829,warp
smsp__average_warp_latency_per_inst_issued.ratio,89.709262,cycle
smsp__average_warps_active_per_inst_executed.ratio,94.024076,cycle
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,19.038570,inst
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio,1.626495,inst
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio,0.058105,inst
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio,0.001043,inst
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio,0,inst
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,55.787340,inst
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio,0.079737,inst
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,0.660543,inst
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,0.411053,inst
smsp__average_warps_issue_stalled_misc_per_issue_active.ratio,0.217829,inst
smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,0.254747,inst
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio,0.130984,inst
smsp__average_warps_issue_stalled_selected_per_issue_active.ratio,0.996472,inst
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,2.813176,inst
smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio,6.473135,inst
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio,0,inst
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,1.237488,inst
smsp__issue_active.avg.pct_of_peak_sustained_active,3.342205,%
smsp__issue_active.avg.per_cycle_active,0.03,
smsp__issue_active.max.pct_of_peak_sustained_active,7.993401,%
smsp__issue_active.max.per_cycle_active,0.08,
smsp__issue_active.min.pct_of_peak_sustained_active,0,%
smsp__issue_active.min.per_cycle_active,0,
smsp__issue_active.sum.pct_of_peak_sustained_active,3.342205,%
smsp__issue_active.sum.per_cycle_active,19.79,
smsp__issue_inst0.avg.pct_of_peak_sustained_active,96.657795,%
smsp__issue_inst0.max.pct_of_peak_sustained_active,108.370328,%
smsp__issue_inst0.min.pct_of_peak_sustained_active,0,%
smsp__issue_inst0.sum.pct_of_peak_sustained_active,96.657795,%
smsp__maximum_warps_avg_per_active_cycle,3.000000,warp
smsp__thread_inst_executed_per_inst_executed.ratio,11.99,
smsp__thread_inst_executed_pred_on_per_inst_executed.ratio,11.67,
smsp__warps_active.avg.peak_sustained,16.000000,warp
smsp__warps_active.avg.per_cycle_active,2.998267,warp
smsp__warps_active.max.peak_sustained,16.000000,warp
smsp__warps_active.max.per_cycle_active,3.484759,warp
smsp__warps_active.min.peak_sustained,16.000000,warp
smsp__warps_active.min.per_cycle_active,0,warp
smsp__warps_active.sum.peak_sustained,9472.000000,warp
smsp__warps_active.sum.per_cycle_active,1774.974161,warp
smsp__warps_eligible.avg.per_cycle_active,0.037752,warp
smsp__warps_eligible.max.per_cycle_active,0.087125,warp
smsp__warps_eligible.min.per_cycle_active,0,warp
smsp__warps_eligible.sum.per_cycle_active,22.348951,warp
syslts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,0,%
syslts__d_atomic_input_cycles_active.max.pct_of_peak_sustained_elapsed,0,%
syslts__d_atomic_input_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
syslts__d_atomic_input_cycles_active.sum.pct_of_peak_sustained_elapsed,0,%
syslts__d_sectors.avg.pct_of_peak_sustained_elapsed,0.039404,%
syslts__d_sectors.max.pct_of_peak_sustained_elapsed,0.040998,%
syslts__d_sectors.min.pct_of_peak_sustained_elapsed,0.039176,%
syslts__d_sectors.sum.pct_of_peak_sustained_elapsed,0.039404,%
syslts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,0.000057,%
syslts__d_sectors_fill_sysmem.max.pct_of_peak_sustained_elapsed,0.000456,%
syslts__d_sectors_fill_sysmem.min.pct_of_peak_sustained_elapsed,0,%
syslts__d_sectors_fill_sysmem.sum.pct_of_peak_sustained_elapsed,0.000057,%
syslts__syslts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,0.014236,%
syslts__syslts2xbar_cycles_active.max.pct_of_peak_sustained_elapsed,0.017310,%
syslts__syslts2xbar_cycles_active.min.pct_of_peak_sustained_elapsed,0.013666,%
syslts__syslts2xbar_cycles_active.sum.pct_of_peak_sustained_elapsed,0.014236,%
syslts__t_sectors.avg.pct_of_peak_sustained_elapsed,0.083420,%
syslts__t_sectors.max.pct_of_peak_sustained_elapsed,0.087008,%
syslts__t_sectors.min.pct_of_peak_sustained_elapsed,0.079719,%
syslts__t_sectors.sum.pct_of_peak_sustained_elapsed,0.083420,%
syslts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,0.025168,%
syslts__t_tag_requests.max.pct_of_peak_sustained_elapsed,0.026877,%
syslts__t_tag_requests.min.pct_of_peak_sustained_elapsed,0.024599,%
syslts__t_tag_requests.sum.pct_of_peak_sustained_elapsed,0.025168,%
syslts__xbar2syslts_cycles_active.avg.pct_of_peak_sustained_elapsed,0.067306,%
syslts__xbar2syslts_cycles_active.max.pct_of_peak_sustained_elapsed,0.072430,%
syslts__xbar2syslts_cycles_active.min.pct_of_peak_sustained_elapsed,0.060131,%
syslts__xbar2syslts_cycles_active.sum.pct_of_peak_sustained_elapsed,0.067306,%
