step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms
4,1024,baseline,0.022712532679239908,0.022669865687688192,0.023028266429901124,1.0,94.55060245055274,0.0221,SLOW,"[0.022779732942581177, 0.022712532679239908, 0.023028266429901124, 0.022695465882619222, 0.022669865687688192]"
4,1024,wait_64ns,0.02260479927062988,0.022597332795461018,0.02264853318532308,1.005003040084454,95.00122616838262,0.0221,SLOW,"[0.02264853318532308, 0.02259946664174398, 0.022644267479578654, 0.022597332795461018, 0.02260479927062988]"
4,1024,wait_poll,0.02308479944864909,0.022865066925684612,0.023332266012827556,0.9906945743063482,93.0258741375234,0.0221,SLOW,"[0.023332266012827556, 0.022925867636998495, 0.02308479944864909, 0.022865066925684612, 0.023150932788848878]"
4,1024,tma_wait_64ns,0.02268799940745036,0.022660267353057862,0.022708266973495483,1.002259284577711,94.6528430926705,0.0221,SLOW,"[0.022708266973495483, 0.02266133427619934, 0.022690133253733317, 0.02268799940745036, 0.022660267353057862]"
4,1024,mma_wait_64ns,0.02269866665204366,0.022668800751368203,0.02273706595102946,1.0006108740838748,94.60836096320452,0.0221,SLOW,"[0.022703999280929567, 0.02269866665204366, 0.022668800751368203, 0.022691200176874798, 0.02273706595102946]"
5,1024,baseline,0.01651520033677419,0.016454399625460307,0.016530133287111917,1.0,130.0307355774683,0.015600000000000001,SLOW,"[0.016504533092180886, 0.01651520033677419, 0.016454399625460307, 0.0165173331896464, 0.016530133287111917]"
5,1024,wait_64ns,0.014947199821472168,0.014493866761525472,0.015019733707110088,1.105045318650165,143.67130122359546,0.015600000000000001,PASS,"[0.014493866761525472, 0.015019733707110088, 0.014782933394114177, 0.014947199821472168, 0.014979199568430582]"
5,1024,wait_poll,0.01708266735076904,0.01653866668542226,0.017087999979654947,0.9674137092034019,125.71126065411106,0.015600000000000001,SLOW,"[0.01653866668542226, 0.01708266735076904, 0.016956800222396852, 0.017087999979654947, 0.01708693305651347]"
5,1024,tma_wait_64ns,0.01649493376413981,0.01646293302377065,0.01652479966481527,0.9996772120550232,130.19049841040624,0.015600000000000001,SLOW,"[0.01649493376413981, 0.016520532965660095, 0.01646293302377065, 0.01652479966481527, 0.01648640036582947]"
5,1024,mma_wait_64ns,0.014513066411018372,0.014473600188891093,0.014854400356610616,1.1372188774420948,147.9689809983659,0.015600000000000001,PASS,"[0.014513066411018372, 0.014482133587201436, 0.014854400356610616, 0.014782933394114177, 0.014473600188891093]"
