step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms
4,1024,baseline,0.022709333896636964,0.022667733828226726,0.02295573353767395,1.0,94.56392062287753,0.0221,SLOW,"[0.02295573353767395, 0.022709333896636964, 0.022695465882619222, 0.022667733828226726, 0.02271359960238139]"
4,1024,k_tile_128,0.018613332509994508,0.01856213410695394,0.018631466229756675,1.2202865655671935,115.37341026099972,0.0221,PASS,"[0.018631466229756675, 0.018613332509994508, 0.01856213410695394, 0.018615466356277467, 0.018613332509994508]"
4,1024,tmem_load_64,0.022721066077550253,0.022655999660491942,0.022765866915384927,0.9998591622234244,94.51509188302745,0.0221,SLOW,"[0.022721066077550253, 0.022712532679239908, 0.022765866915384927, 0.02276266614596049, 0.022655999660491942]"
4,1024,unroll_k,0.02271146575609843,0.022703999280929567,0.022850133975346885,1.0001879621282563,94.55504418174166,0.0221,SLOW,"[0.022850133975346885, 0.022705066204071044, 0.02276266614596049, 0.02271146575609843, 0.022703999280929567]"
