step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms
6,4096,baseline,0.31614507039388023,0.3143797238667806,0.3167914708455404,1.0,434.7338179297464,0.3107,SLOW,"[0.3159989356994629, 0.3167914708455404, 0.31614507039388023, 0.3143797238667806, 0.31640427907307944]"
6,4096,k_tile_128,0.24921706517537434,0.24868052800496418,0.24942293167114257,1.267565218522313,551.4829146041185,0.3107,PASS,"[0.2492959976196289, 0.24921706517537434, 0.24942293167114257, 0.24868052800496418, 0.2488255977630615]"
6,4096,mma_wait_64ns,0.3117055892944336,0.31146027247111,0.31263891855875653,1.013569284330682,440.9255341975171,0.3107,SLOW,"[0.3117055892944336, 0.3125503857930501, 0.31146027247111, 0.31154985427856446, 0.31263891855875653]"
6,4096,final_fence,0.31405760447184244,0.31311893463134766,0.31452906926472984,1.0066467612702719,437.62338983363924,0.3107,SLOW,"[0.31311893463134766, 0.3143264134724935, 0.31405760447184244, 0.3140512148539225, 0.31452906926472984]"
7,4096,baseline,0.30940478642781577,0.30832319259643554,0.3102773348490397,1.0,444.2043546215939,0.29900000000000004,SLOW,"[0.30983572006225585, 0.30832319259643554, 0.30940478642781577, 0.30872745513916017, 0.3102773348490397]"
7,4096,k_tile_128,0.21903467178344727,0.2184981346130371,0.21948800086975098,1.4125836056389949,627.4757888919139,0.29900000000000004,PASS,"[0.2184981346130371, 0.21867094039916993, 0.21903467178344727, 0.21948800086975098, 0.21912426948547364]"
7,4096,mma_wait_64ns,0.30386667251586913,0.3034528096516927,0.30598185857137045,1.0167107341133494,452.3001892049296,0.29900000000000004,SLOW,"[0.30386667251586913, 0.3034528096516927, 0.3037610689798991, 0.30598185857137045, 0.3051775932312012]"
7,4096,epilogue_128,0.3108864148457845,0.31078828175862633,0.31166505813598633,0.9948757886507883,442.0873570180824,0.29900000000000004,SLOW,"[0.3108501434326172, 0.31166505813598633, 0.3109984079996745, 0.31078828175862633, 0.3108864148457845]"
10,4096,baseline,0.14208213488260904,0.14199360211690268,0.14219199816385905,1.0,967.3204416977171,0.1391,SLOW,"[0.14208426475524902, 0.14208213488260904, 0.14203519821166993, 0.14219199816385905, 0.14199360211690268]"
10,4096,mma_wait_64ns,0.14222079912821453,0.14210346539815266,0.1425589402516683,0.9984025050294716,966.3773112967561,0.1391,SLOW,"[0.14210346539815266, 0.14232640266418456, 0.1425589402516683, 0.14219627380371094, 0.14222079912821453]"
10,4096,tmem_load_16,0.14323412577311198,0.14297173817952474,0.14327786763509115,0.9916693143222785,959.5405615119142,0.1391,SLOW,"[0.14327786763509115, 0.14297173817952474, 0.14324159622192384, 0.14319252967834473, 0.14323412577311198]"
