step,size,variant,median_ms,min_ms,max_ms,paired_speedup,tflops,limit_ms,status,samples_ms,paired_cache_speedup,comparison_control,paired_control_speedup
10,4096,baseline,0.13810027440388997,0.1377845287322998,0.1393653392791748,1.0,995.2112989293861,0.1391,PASS,"[0.1393653392791748, 0.13810027440388997, 0.13801493644714355, 0.13831253051757814, 0.1377845287322998]",,baseline,1.0
10,4096,mma_batch,0.13780906995137532,0.13627626101175944,0.1387349287668864,1.0045085806403578,997.314280696431,0.1391,PASS,"[0.1387349287668864, 0.13627626101175944, 0.13780906995137532, 0.13769173622131348, 0.13840959866841634]",,baseline,1.0045085806403578
10,4096,mma_batch_no_unroll,0.13813546498616536,0.1367146650950114,0.13856639862060546,1.0015558856979396,994.9577647258428,0.1391,PASS,"[0.13856639862060546, 0.1367146650950114, 0.1378005345662435, 0.13838826815287272, 0.13813546498616536]",,mma_batch,1.0000619401452882
