step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
10,4096,1,tma,1789358306023396512,1789358306023428704,26432,3072,0,0,101809258268769,101809258303405,3,4,16,9,4,1,2,0,32192,2688
10,4096,1,tma,1789358306023428832,1789358306023459616,25344,2720,0,0,101809258303533,101809258337250,3,4,24,9,4,1,3,0,30784,2720
10,4096,1,tma,1789358306023332416,1789358306023364512,26016,3136,0,0,101808427088718,101808427121240,4,5,0,10,5,0,0,0,32096,2944
10,4096,1,tma,1789358306023364640,1789358306023396288,25632,3264,0,0,101808427121368,101808427154660,4,5,8,10,5,0,1,0,31648,2752
10,4096,1,tma,1789358306023396416,1789358306023428448,26176,3136,0,0,101808427154788,101808427189178,4,5,16,10,5,0,2,0,32032,2720
10,4096,1,tma,1789358306023428544,1789358306023459328,24992,3104,0,0,101808427189307,101808427222999,4,5,24,10,5,0,3,0,30784,2688
10,4096,1,tma,1789358306023332416,1789358306023364544,26144,3040,0,0,101808427088715,101808427121246,5,5,0,11,5,1,0,0,32128,2944
10,4096,1,tma,1789358306023364640,1789358306023396288,25792,3104,0,0,101808427121374,101808427154663,5,5,8,11,5,1,1,0,31648,2752
10,4096,1,tma,1789358306023396416,1789358306023428416,26336,3008,0,0,101808427154791,101808427189173,5,5,16,11,5,1,2,0,32000,2656
10,4096,1,tma,1789358306023428544,1789358306023459328,25184,2880,0,0,101808427189301,101808427223003,5,5,24,11,5,1,3,0,30784,2720
10,4096,1,tma,1789358306023332256,1789358306023365216,26752,3104,0,0,101563915885402,101563915918056,6,6,0,12,6,0,0,0,32960,3104
10,4096,1,tma,1789358306023365344,1789358306023397312,26016,3168,0,0,101563915918184,101563915951469,6,6,8,12,6,0,1,0,31968,2784
10,4096,1,tma,1789358306023397440,1789358306023428896,25536,3072,0,0,101563915951598,101563915984938,6,6,16,12,6,0,2,0,31456,2848
10,4096,1,tma,1789358306023429024,1789358306023459488,24704,2976,0,0,101563915985068,101563916018427,6,6,24,12,6,0,3,0,30464,2784
10,4096,1,tma,1789358306023332256,1789358306023365216,26944,3072,0,0,101563915885399,101563915918059,7,6,0,13,6,1,0,0,32960,2944
10,4096,1,tma,1789358306023365344,1789358306023397312,26240,2912,0,0,101563915918187,101563915951473,7,6,8,13,6,1,1,0,31968,2816
10,4096,1,tma,1789358306023397440,1789358306023428896,25728,2912,0,0,101563915951601,101563915984942,7,6,16,13,6,1,2,0,31456,2816
10,4096,1,tma,1789358306023429024,1789358306023459488,25024,2816,0,0,101563915985070,101563916018431,7,6,24,13,6,1,3,0,30464,2624
10,4096,1,tma,1789358306023332448,1789358306023364896,25952,3232,0,0,101590648516679,101590648549073,8,7,0,14,7,0,0,0,32448,3264
10,4096,1,tma,1789358306023365024,1789358306023397088,25888,3200,0,0,101590648549201,101590648582416,8,7,8,14,7,0,1,0,32064,2976
10,4096,1,tma,1789358306023397216,1789358306023428576,25504,3200,0,0,101590648582545,101590648615990,8,7,16,14,7,0,2,0,31360,2656
10,4096,1,tma,1789358306023428704,1789358306023459232,24768,3168,0,0,101590648616118,101590648649496,8,7,24,14,7,0,3,0,30528,2592
10,4096,1,tma,1789358306023332448,1789358306023364896,26368,3040,0,0,101590648516680,101590648549076,9,7,0,15,7,1,0,0,32448,3040
10,4096,1,tma,1789358306023365024,1789358306023397120,26240,2816,0,0,101590648549204,101590648582420,9,7,8,15,7,1,1,0,32096,3040
10,4096,1,tma,1789358306023397216,1789358306023428608,25792,2784,0,0,101590648582548,101590648615994,9,7,16,15,7,1,2,0,31392,2816
10,4096,1,tma,1789358306023428704,1789358306023459232,25024,2784,0,0,101590648616122,101590648649501,9,7,24,15,7,1,3,0,30528,2720
10,4096,1,tma,1789358306023332256,1789358306023364992,26432,3424,0,0,101777864375864,101777864408516,10,0,1,16,8,0,0,0,32736,2880
10,4096,1,tma,1789358306023365120,1789358306023396544,25472,3008,0,0,101777864408644,101777864441869,10,0,9,16,8,0,1,0,31424,2944
10,4096,1,tma,1789358306023396640,1789358306023427680,25024,3296,0,0,101777864441999,101777864475361,10,0,17,16,8,0,2,0,31040,2720
10,4096,1,tma,1789358306023427808,1789358306023458592,25152,2944,0,0,101777864475489,101777864509229,10,0,25,16,8,0,3,0,30784,2688
10,4096,1,tma,1789358306023332256,1789358306023364992,26592,3072,0,0,101777864375865,101777864408520,11,0,1,17,8,1,0,0,32736,3072
10,4096,1,tma,1789358306023365120,1789358306023396544,25824,2976,0,0,101777864408648,101777864441873,11,0,9,17,8,1,1,0,31424,2624
10,4096,1,tma,1789358306023396640,1789358306023427680,25344,2816,0,0,101777864442001,101777864475365,11,0,17,17,8,1,2,0,31040,2880
10,4096,1,tma,1789358306023427808,1789358306023458560,25120,2784,0,0,101777864475493,101777864509178,11,0,25,17,8,1,3,0,30752,2848
10,4096,1,tma,1789358306023332224,1789358306023364384,26016,3104,0,0,101843251607243,101843251639968,12,1,1,18,9,0,0,0,32160,3040
10,4096,1,tma,1789358306023364512,1789358306023395776,25248,3136,0,0,101843251640098,101843251673732,12,1,9,18,9,0,1,0,31264,2880
10,4096,1,tma,1789358306023395904,1789358306023427104,25440,3104,0,0,101843251673860,101843251707790,12,1,17,18,9,0,2,0,31200,2656
10,4096,1,tma,1789358306023427232,1789358306023458144,25152,2944,0,0,101843251707920,101843251741816,12,1,25,18,9,0,3,0,30912,2816
10,4096,1,tma,1789358306023332224,1789358306023364352,26176,2976,0,0,101843251607244,101843251639939,13,1,1,19,9,1,0,0,32128,2976
10,4096,1,tma,1789358306023364480,1789358306023395776,25600,2656,0,0,101843251640067,101843251673733,13,1,9,19,9,1,1,0,31296,3040
10,4096,1,tma,1789358306023395904,1789358306023427072,25664,3008,0,0,101843251673861,101843251707739,13,1,17,19,9,1,2,0,31168,2496
10,4096,1,tma,1789358306023427168,1789358306023458208,25504,2752,0,0,101843251707867,101843251741893,13,1,25,19,9,1,3,0,31040,2784
10,4096,1,tma,1789358306023332224,1789358306023364992,26592,3264,0,0,101839372799220,101839372831915,14,2,1,20,10,0,0,0,32768,2912
10,4096,1,tma,1789358306023365120,1789358306023396640,25568,3040,0,0,101839372832043,101839372865502,14,2,9,20,10,0,1,0,31520,2912
10,4096,1,tma,1789358306023396768,1789358306023428192,25728,2912,0,0,101839372865630,101839372899468,14,2,17,20,10,0,2,0,31424,2784
10,4096,1,tma,1789358306023428320,1789358306023458912,24896,3040,0,0,101839372899599,101839372933141,14,2,25,20,10,0,3,0,30592,2656
10,4096,1,tma,1789358306023332224,1789358306023364992,26656,3200,0,0,101839372799221,101839372831911,15,2,1,21,10,1,0,0,32768,2912
10,4096,1,tma,1789358306023365120,1789358306023396576,25824,2816,0,0,101839372832039,101839372865451,15,2,9,21,10,1,1,0,31456,2816
10,4096,1,tma,1789358306023396704,1789358306023428192,26048,2688,0,0,101839372865579,101839372899463,15,2,17,21,10,1,2,0,31488,2752
10,4096,1,tma,1789358306023428288,1789358306023458912,25152,2784,0,0,101839372899591,101839372933145,15,2,25,21,10,1,3,0,30624,2688
10,4096,1,tma,1789358306023332448,1789358306023364064,25600,3296,0,0,101808166245072,101808166277503,16,3,1,22,11,0,0,0,31616,2720
10,4096,1,tma,1789358306023364192,1789358306023395840,25600,3328,0,0,101808166277631,101808166311396,16,3,9,22,11,0,1,0,31648,2720
10,4096,1,tma,1789358306023395968,1789358306023427072,25248,3008,0,0,101808166311524,101808166345259,16,3,17,22,11,0,2,0,31104,2848
10,4096,1,tma,1789358306023427200,1789358306023457984,24992,3040,0,0,101808166345387,101808166379110,16,3,25,22,11,0,3,0,30784,2752
10,4096,1,tma,1789358306023332448,1789358306023364064,25632,2976,0,0,101808166245078,101808166277508,17,3,1,23,11,1,0,0,31616,3008
10,4096,1,tma,1789358306023364192,1789358306023395872,25984,3136,0,0,101808166277636,101808166311437,17,3,9,23,11,1,1,0,31680,2560
10,4096,1,tma,1789358306023396000,1789358306023427072,25600,2912,0,0,101808166311565,101808166345258,17,3,17,23,11,1,2,0,31072,2560
10,4096,1,tma,1789358306023427168,1789358306023458016,25344,2880,0,0,101808166345386,101808166379164,17,3,25,23,11,1,3,0,30848,2624
10,4096,1,tma,1789358306023332448,1789358306023364512,25888,3072,0,0,101809258202769,101809258235209,18,4,1,24,12,0,0,0,32064,3104
10,4096,1,tma,1789358306023364640,1789358306023396352,25792,2944,0,0,101809258235337,101809258268616,18,4,9,24,12,0,1,0,31712,2976
10,4096,1,tma,1789358306023396480,1789358306023428736,26496,3360,0,0,101809258268744,101809258303444,18,4,17,24,12,0,2,0,32256,2400
10,4096,1,tma,1789358306023428864,1789358306023459456,24704,3136,0,0,101809258303572,101809258337082,18,4,25,24,12,0,3,0,30592,2752
10,4096,1,tma,1789358306023332448,1789358306023364512,26080,2944,0,0,101809258202772,101809258235216,19,4,1,25,12,1,0,0,32064,3040
10,4096,1,tma,1789358306023364640,1789358306023396352,26016,2944,0,0,101809258235344,101809258268623,19,4,9,25,12,1,1,0,31712,2752
10,4096,1,tma,1789358306023396480,1789358306023428736,26592,3008,0,0,101809258268751,101809258303444,19,4,17,25,12,1,2,0,32256,2656
10,4096,1,tma,1789358306023428864,1789358306023459456,24960,2816,0,0,101809258303572,101809258337088,19,4,25,25,12,1,3,0,30592,2816
10,4096,1,tma,1789358306023332448,1789358306023364544,25920,3264,0,0,101808427088738,101808427121262,20,5,1,26,13,0,0,0,32096,2912
10,4096,1,tma,1789358306023364672,1789358306023396320,25664,3072,0,0,101808427121391,101808427154678,20,5,9,26,13,0,1,0,31648,2912
10,4096,1,tma,1789358306023396448,1789358306023428448,26176,3008,0,0,101808427154806,101808427189184,20,5,17,26,13,0,2,0,32000,2816
10,4096,1,tma,1789358306023428544,1789358306023459360,25024,2976,0,0,101808427189313,101808427223014,20,5,25,26,13,0,3,0,30816,2816
